Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-08-13,clone beginner classics,yir2023,https://boxd.it/WwP9U,

Position,Name,Year,URL,Description
1,The Wizard of Oz,1939,https://boxd.it/29Xu,<br>
2,Roman Holiday,1953,https://boxd.it/29zW,
3,Psycho,1960,https://boxd.it/2ab2,
4,It's a Wonderful Life,1946,https://boxd.it/28xA,
5,Casablanca,1942,https://boxd.it/2aG0,
6,12 Angry Men,1957,https://boxd.it/2auI,
7,Citizen Kane,1941,https://boxd.it/71O,
8,Mary Poppins,1964,https://boxd.it/2aoA,
9,The Graduate,1967,https://boxd.it/18Im,
10,Charade,1963,https://boxd.it/23O2,
11,Some Like It Hot,1959,https://boxd.it/2aNA,
12,Singin' in the Rain,1952,https://boxd.it/29oY,
13,The Sound of Music,1965,https://boxd.it/1MLK,
14,The Apartment,1960,https://boxd.it/2aGE,
15,Double Indemnity,1944,https://boxd.it/297I,
16,What Ever Happened to Baby Jane?,1962,https://boxd.it/1WJE,
17,Rear Window,1954,https://boxd.it/2a6Q,
18,Vertigo,1958,https://boxd.it/2apI,
19,Gentlemen Prefer Blondes,1953,https://boxd.it/29Hc,
20,The Night of the Hunter,1955,https://boxd.it/25HW,
21,It Happened One Night,1934,https://boxd.it/25Ng,
22,Seconds,1966,https://boxd.it/1Dbe,
23,The Philadelphia Story,1940,https://boxd.it/29a8,
24,Notorious,1946,https://boxd.it/2aDK,
25,Ball of Fire,1941,https://boxd.it/1ms8,
26,Rosemary's Baby,1968,https://boxd.it/29zM,
27,How to Steal a Million,1966,https://boxd.it/25Yo,
28,You Can't Take It with You,1938,https://boxd.it/1ejM,
29,Bringing Up Baby,1938,https://boxd.it/29ks,
30,The Shop Around the Corner,1940,https://boxd.it/1DFy,
31,All About Eve,1950,https://boxd.it/29LI,
32,Laura,1944,https://boxd.it/27Oq,
33,Witness for the Prosecution,1957,https://boxd.it/18H4,
34,The Lady Eve,1941,https://boxd.it/25LY,
35,Dial M for Murder,1954,https://boxd.it/2adW,
36,Strangers on a Train,1951,https://boxd.it/29tk,
37,Sunset Boulevard,1950,https://boxd.it/2a20,
38,The Children's Hour,1961,https://boxd.it/1DZI,
39,Goldfinger,1964,https://boxd.it/29SY,
40,Dr. No,1962,https://boxd.it/29UU,
41,Rebecca,1940,https://boxd.it/2aQa,
42,Holiday,1938,https://boxd.it/1Ks2,
