Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-05-12,clone blankies discord,,https://boxd.it/UphFK,

Position,Name,Year,URL,Description
1,Mulholland Drive,2001,https://boxd.it/297o,
2,The Apartment,1960,https://boxd.it/2aGE,
3,Do the Right Thing,1989,https://boxd.it/29gA,
4,All That Jazz,1979,https://boxd.it/1JB8,
5,Casablanca,1942,https://boxd.it/2aG0,
6,Stop Making Sense,1984,https://boxd.it/1ygo,
7,High and Low,1963,https://boxd.it/1RSc,
8,In the Mood for Love,2000,https://boxd.it/29tE,
9,Chungking Express,1994,https://boxd.it/1UDa,
10,Spirited Away,2001,https://boxd.it/2b4m,
11,It's a Wonderful Life,1946,https://boxd.it/28xA,
12,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
13,Speed Racer,2008,https://boxd.it/20UQ,
14,The Matrix,1999,https://boxd.it/2a1m,
15,Sherlock Jr.,1924,https://boxd.it/298m,
16,Barry Lyndon,1975,https://boxd.it/25A2,
17,Before Sunset,2004,https://boxd.it/2bcg,
18,Cléo from 5 to 7,1962,https://boxd.it/2agm,
19,GoodFellas,1990,https://boxd.it/29FA,
20,Malcolm X,1992,https://boxd.it/27WE,
21,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
22,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw,
23,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
24,Alien,1979,https://boxd.it/2awY,
25,I Saw the TV Glow,2024,https://boxd.it/woVe,
26,Inside Llewyn Davis,2013,https://boxd.it/34Ro,
27,Jaws,1975,https://boxd.it/2a5e,
28,Kiki's Delivery Service,1989,https://boxd.it/1JAY,
29,Singin' in the Rain,1952,https://boxd.it/29oY,
30,The Thing,1982,https://boxd.it/294O,
31,Yi Yi,2000,https://boxd.it/1vCw,
32,Zodiac,2007,https://boxd.it/27MO,
33,12 Angry Men,1957,https://boxd.it/2auI,
34,Boogie Nights,1997,https://boxd.it/23um,
35,Brief Encounter,1945,https://boxd.it/29sm,
36,Dog Day Afternoon,1975,https://boxd.it/29bg,
37,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,
38,Fargo,1996,https://boxd.it/2aHM,
39,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
40,Heat,1995,https://boxd.it/2bg8,
41,"Paris, Texas",1984,https://boxd.it/29Ts,
42,Persona,1966,https://boxd.it/29B4,
43,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
44,The Princess Bride,1987,https://boxd.it/26EY,
45,Ran,1985,https://boxd.it/1Tlu,
46,Rear Window,1954,https://boxd.it/2a6Q,
47,The Red Shoes,1948,https://boxd.it/1EXI,
48,A Serious Man,2009,https://boxd.it/1RFW,
49,Seven Samurai,1954,https://boxd.it/2axi,
50,The Tree of Life,2011,https://boxd.it/1Zu8,
51,Vertigo,1958,https://boxd.it/2apI,
52,Amadeus,1984,https://boxd.it/2aH8,
53,Back to the Future,1985,https://boxd.it/2b8e,
54,Citizen Kane,1941,https://boxd.it/71O,
55,Dazed and Confused,1993,https://boxd.it/1Ylk,
56,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
57,Frances Ha,2012,https://boxd.it/41Xg,
58,Godzilla,1954,https://boxd.it/28kc,
59,The Handmaiden,2016,https://boxd.it/948A,
60,McCabe & Mrs. Miller,1971,https://boxd.it/1ooC,
61,Magnolia,1999,https://boxd.it/2aze,
62,Nashville,1975,https://boxd.it/25GE,
63,The Nice Guys,2016,https://boxd.it/94Hg,
64,Oppenheimer,2023,https://boxd.it/wUow,
65,Pee-wee's Big Adventure,1985,https://boxd.it/22Lw,
66,Phantom Thread,2017,https://boxd.it/e4uc,
67,PlayTime,1967,https://boxd.it/1WLK,
