Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-06-30,100 Best British Films,,https://boxd.it/VmLyi,

Position,Name,Year,URL,Description
1,The 39 Steps,1935,https://boxd.it/2aKc,
2,The Lady Vanishes,1938,https://boxd.it/29ea,
3,The Life and Death of Colonel Blimp,1943,https://boxd.it/1wwk,
4,A Canterbury Tale,1944,https://boxd.it/1LIg,
5,Brief Encounter,1945,https://boxd.it/29sm,
6,I Know Where I'm Going!,1945,https://boxd.it/pQU,
7,A Matter of Life and Death,1946,https://boxd.it/1q6K,
8,Great Expectations,1946,https://boxd.it/1OjS,
9,Black Narcissus,1947,https://boxd.it/1Kce,
10,The Red Shoes,1948,https://boxd.it/1EXI,
11,Kind Hearts and Coronets,1949,https://boxd.it/1SPe,
12,The Third Man,1949,https://boxd.it/294E,
13,Passport to Pimlico,1949,https://boxd.it/1lYM,
14,Night and the City,1950,https://boxd.it/1FFg,
15,The Lavender Hill Mob,1951,https://boxd.it/1gkM,
16,The Ladykillers,1955,https://boxd.it/230w,
17,The Bridge on the River Kwai,1957,https://boxd.it/29wo,
18,Ice Cold in Alex,1958,https://boxd.it/1KqA,
19,Peeping Tom,1960,https://boxd.it/1Utk,
20,Saturday Night and Sunday Morning,1960,https://boxd.it/18Ks,
21,The Innocents,1961,https://boxd.it/1KeY,
22,The Loneliness of the Long Distance Runner,1962,https://boxd.it/1KOM,
23,Lawrence of Arabia,1962,https://boxd.it/2wRE,
24,The Servant,1963,https://boxd.it/VAa,
25,Zulu,1964,https://boxd.it/1O6Y,
26,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
27,A Hard Day's Night,1964,https://boxd.it/29LS,
28,Goldfinger,1964,https://boxd.it/29SY,
29,The Ipcress File,1965,https://boxd.it/1MzE,
30,The Spy Who Came In from the Cold,1965,https://boxd.it/1PQS,
31,Blow-Up,1966,https://boxd.it/2966,
32,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
33,if....,1968,https://boxd.it/1Nna,
34,Kes,1969,https://boxd.it/1Qi8,
35,Get Carter,1971,https://boxd.it/28HU,
36,A Clockwork Orange,1971,https://boxd.it/2aVE,
37,Frenzy,1972,https://boxd.it/2a62,
38,Don't Look Now,1973,https://boxd.it/29fC,
39,The Wicker Man,1973,https://boxd.it/1KnG,
40,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,
41,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q,
42,The Man Who Would Be King,1975,https://boxd.it/299O,
43,Barry Lyndon,1975,https://boxd.it/25A2,
44,Life of Brian,1979,https://boxd.it/2a4q,
45,The Elephant Man,1980,https://boxd.it/27LQ,
46,An American Werewolf in London,1981,https://boxd.it/29yk,
47,Local Hero,1983,https://boxd.it/1Uiw,
48,Threads,1984,https://boxd.it/1I0g,
49,Brazil,1985,https://boxd.it/2be2,
50,When the Wind Blows,1986,https://boxd.it/1VdC,
51,Withnail & I,1987,https://boxd.it/1Qa4,
52,"Distant Voices, Still Lives",1988,https://boxd.it/Yv8,
53,A Fish Called Wanda,1988,https://boxd.it/29YC,
54,"The Cook, the Thief, His Wife & Her Lover",1989,https://boxd.it/20VO,
55,Naked,1993,https://boxd.it/1BT4,
56,The Remains of the Day,1993,https://boxd.it/291A,
57,Shallow Grave,1994,https://boxd.it/1XyW,
58,GoldenEye,1995,https://boxd.it/29KU,
59,Trainspotting,1996,https://boxd.it/29XY,
60,Secrets & Lies,1996,https://boxd.it/1UuC,
61,Topsy-Turvy,1999,https://boxd.it/Nbc,
62,Billy Elliot,2000,https://boxd.it/2bdy,
63,Chicken Run,2000,https://boxd.it/20Xg,
64,Snatch,2000,https://boxd.it/2b7U,
65,Gosford Park,2001,https://boxd.it/239e,
66,24 Hour Party People,2002,https://boxd.it/26nI,
67,28 Days Later,2002,https://boxd.it/2aXU,
68,Shaun of the Dead,2004,https://boxd.it/29J8,
69,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,
70,Dead Man's Shoes,2004,https://boxd.it/1R6C,
71,Wallace & Gromit: The Curse of the Were-Rabbit,2005,https://boxd.it/2ac0,
72,Pride & Prejudice,2005,https://boxd.it/24u8,
73,The Queen,2006,https://boxd.it/292e,
74,Children of Men,2006,https://boxd.it/1Y2i,
75,This Is England,2006,https://boxd.it/1T44,
76,Casino Royale,2006,https://boxd.it/1alk,
77,Hot Fuzz,2007,https://boxd.it/2416,
78,Atonement,2007,https://boxd.it/24ui,
79,In Bruges,2008,https://boxd.it/20n8,
80,In the Loop,2009,https://boxd.it/1EsA,
81,Four Lions,2010,https://boxd.it/18do,
82,Another Year,2010,https://boxd.it/T1C,
83,The King's Speech,2010,https://boxd.it/dX0,
84,Submarine,2010,https://boxd.it/H4a,
85,Attack the Block,2011,https://boxd.it/hFO,
86,We Need to Talk About Kevin,2011,https://boxd.it/2pTS,
87,Tinker Tailor Soldier Spy,2011,https://boxd.it/FRY,
88,Under the Skin,2013,https://boxd.it/3mDa,
89,Pride,2014,https://boxd.it/6TwM,
90,The Lobster,2015,https://boxd.it/7tnw,
91,God's Own Country,2017,https://boxd.it/faZM,
92,The Death of Stalin,2017,https://boxd.it/ea9Y,
93,Paddington 2,2017,https://boxd.it/bCF8,
94,The Favourite,2018,https://boxd.it/d2hI,
95,1917,2019,https://boxd.it/jj4y,
96,The Father,2020,https://boxd.it/m8Ie,
97,Aftersun,2022,https://boxd.it/Arw0,
