Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-12-27,CineBinge,,https://boxd.it/QZZnQ,

Position,Name,Year,URL,Description
1,Schindler's List,1993,https://boxd.it/2aq2,
2,Oldboy,2003,https://boxd.it/29R2,
3,Forrest Gump,1994,https://boxd.it/728,
4,Inglourious Basterds,2009,https://boxd.it/1JzG,
5,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,
6,The Green Mile,1999,https://boxd.it/2agG,
7,The Shawshank Redemption,1994,https://boxd.it/2aHi,
8,Pulp Fiction,1994,https://boxd.it/29Pq,
9,Interstellar,2014,https://boxd.it/4VZ8,
10,Mulan,1998,https://boxd.it/1VFw,
11,Tenet,2020,https://boxd.it/leq4,
12,The Princess Bride,1987,https://boxd.it/26EY,
13,American History X,1998,https://boxd.it/2bdo,
14,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,
15,Jojo Rabbit,2019,https://boxd.it/iEBG,
16,GoodFellas,1990,https://boxd.it/29FA,
17,Speed,1994,https://boxd.it/28qk,
18,Speed 2: Cruise Control,1997,https://boxd.it/28qa,
19,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,
20,Alien,1979,https://boxd.it/2awY,
21,Se7en,1995,https://boxd.it/29zs,
22,The Terminator,1984,https://boxd.it/2aQY,
23,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,
24,1917,2019,https://boxd.it/jj4y,
25,Aliens,1986,https://boxd.it/29PA,
26,The Matrix,1999,https://boxd.it/2a1m,
27,Airplane!,1980,https://boxd.it/29yu,
28,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,
29,Apollo 13,1995,https://boxd.it/2a6G,
30,Batman Begins,2005,https://boxd.it/2aIg,
31,Life of Brian,1979,https://boxd.it/2a4q,
32,The Silence of the Lambs,1991,https://boxd.it/2aHW,
33,The Dark Knight,2008,https://boxd.it/2b0k,
34,Gladiator,2000,https://boxd.it/2b9m,
35,The Thing,1982,https://boxd.it/294O,
36,Jaws,1975,https://boxd.it/2a5e,
37,The Dark Knight Rises,2012,https://boxd.it/H3m,
38,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,
39,The Martian,2015,https://boxd.it/8SeG,
40,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/18YE,
41,Back to the Future,1985,https://boxd.it/2b8e,
42,Independence Day,1996,https://boxd.it/2a1w,
43,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,
44,The Fifth Element,1997,https://boxd.it/71k,
45,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
46,Jurassic Park,1993,https://boxd.it/2aA2,
47,Back to the Future Part II,1989,https://boxd.it/2aYI,
48,Fight Club,1999,https://boxd.it/2a9q,
49,The Lost World: Jurassic Park,1997,https://boxd.it/2azS,
50,Spider-Man,2002,https://boxd.it/2a8i,
51,Who Framed Roger Rabbit,1988,https://boxd.it/29ry,
52,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,
53,Ip Man,2008,https://boxd.it/1NrQ,
54,Predator,1987,https://boxd.it/2b84,
55,Die Hard,1988,https://boxd.it/2a7u,
56,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,
57,The Sixth Sense,1999,https://boxd.it/29Js,
58,Home Alone,1990,https://boxd.it/29Fg,
59,Spider-Man 2,2004,https://boxd.it/2a88,
60,Total Recall,1990,https://boxd.it/29qK,
61,Spaceballs,1987,https://boxd.it/29cy,
62,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,
63,The Hunt for Red October,1990,https://boxd.it/28lk,
64,Ghostbusters,1984,https://boxd.it/g2w,
65,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,
