Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-12-14,clone Edgar Wright's 1000 Favorite Movies,,https://boxd.it/QEnpW,

Position,Name,Year,URL,Description
1,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo,
2,Nosferatu,1922,https://boxd.it/29TM,
3,Safety Last!,1923,https://boxd.it/1AkW,
4,The Gold Rush,1925,https://boxd.it/29ce,
5,The General,1926,https://boxd.it/29co,
6,Metropolis,1927,https://boxd.it/71a,
7,Sunrise: A Song of Two Humans,1927,https://boxd.it/29Xk,
8,"Steamboat Bill, Jr.",1928,https://boxd.it/1v9u,
9,The Cameraman,1928,https://boxd.it/1jag,
10,The Passion of Joan of Arc,1928,https://boxd.it/29DO,
11,Un Chien Andalou,1929,https://boxd.it/29Y8,
12,Animal Crackers,1930,https://boxd.it/1P9u,
13,L'Âge d'or,1930,https://boxd.it/22FI,
14,City Lights,1931,https://boxd.it/29ki,
15,Dracula,1931,https://boxd.it/2b34,
16,Frankenstein,1931,https://boxd.it/25Te,
17,Little Caesar,1931,https://boxd.it/1qIu,
18,M,1931,https://boxd.it/29vq,
19,Monkey Business,1931,https://boxd.it/1P9O,
20,The Public Enemy,1931,https://boxd.it/1IdY,
21,Freaks,1932,https://boxd.it/2b3o,
22,Island of Lost Souls,1932,https://boxd.it/25TS,
23,Love Me Tonight,1932,https://boxd.it/1iTa,
24,Scarface,1932,https://boxd.it/29oa,
25,The Mummy,1932,https://boxd.it/1LnW,
26,The Old Dark House,1932,https://boxd.it/1iL6,
27,42nd Street,1933,https://boxd.it/25PQ,
28,Duck Soup,1933,https://boxd.it/25PG,
29,Footlight Parade,1933,https://boxd.it/1pBM,
30,Gold Diggers of 1933,1933,https://boxd.it/1iW4,
31,King Kong,1933,https://boxd.it/2aMM,
32,Sons of the Desert,1933,https://boxd.it/VdA,
33,The Invisible Man,1933,https://boxd.it/1VoK,
34,Dames,1934,https://boxd.it/Ti4,
35,The Man Who Knew Too Much,1934,https://boxd.it/20uI,
36,The Scarlet Empress,1934,https://boxd.it/1iTO,
37,The Thin Man,1934,https://boxd.it/25gw,
38,Twentieth Century,1934,https://boxd.it/1ifE,
39,A Night at the Opera,1935,https://boxd.it/17G0,
40,Bride of Frankenstein,1935,https://boxd.it/2aPc,
41,Top Hat,1935,https://boxd.it/25MW,
42,Modern Times,1936,https://boxd.it/25MC,
43,The Awful Truth,1937,https://boxd.it/1NBc,
44,Angels with Dirty Faces,1938,https://boxd.it/1PBI,
45,Bringing Up Baby,1938,https://boxd.it/29ks,
46,The Adventures of Robin Hood,1938,https://boxd.it/1V6G,
47,The Lady Vanishes,1938,https://boxd.it/29ea,
48,The Roaring Twenties,1939,https://boxd.it/17J4,
49,The Wizard of Oz,1939,https://boxd.it/29Xu,
50,"Dance, Girl, Dance",1940,https://boxd.it/1hvG,
51,Fantasia,1940,https://boxd.it/29HG,
52,His Girl Friday,1940,https://boxd.it/25M8,
53,Pinocchio,1940,https://boxd.it/1V8C,
54,The Bank Dick,1940,https://boxd.it/29iG,
55,The Grapes of Wrath,1940,https://boxd.it/2a2u,
56,Citizen Kane,1941,https://boxd.it/71O,
57,Dumbo,1941,https://boxd.it/1U2o,
58,Sullivan's Travels,1941,https://boxd.it/1Ko0,
59,Suspicion,1941,https://boxd.it/1TNo,
60,The Maltese Falcon,1941,https://boxd.it/29c4,
61,Cat People,1942,https://boxd.it/1vG4,
62,Road to Morocco,1942,https://boxd.it/1ihU,
63,To Be or Not to Be,1942,https://boxd.it/2aTy,
64,I Walked with a Zombie,1943,https://boxd.it/1stm,
65,Shadow of a Doubt,1943,https://boxd.it/1BtA,
66,The Life and Death of Colonel Blimp,1943,https://boxd.it/1wwk,
67,Arsenic and Old Lace,1944,https://boxd.it/2aRW,
68,Double Indemnity,1944,https://boxd.it/297I,
69,"Murder, My Sweet",1944,https://boxd.it/283U,
70,Brief Encounter,1945,https://boxd.it/29sm,
71,Dead of Night,1945,https://boxd.it/1PQI,
72,Detour,1945,https://boxd.it/1DB2,
73,The Lost Weekend,1945,https://boxd.it/1pgE,
74,A Matter of Life and Death,1946,https://boxd.it/1q6K,
75,Beauty and the Beast,1946,https://boxd.it/29UA,
76,Notorious,1946,https://boxd.it/2aDK,
77,The Big Sleep,1946,https://boxd.it/29iQ,
78,The Killers,1946,https://boxd.it/1NGc,
79,Black Narcissus,1947,https://boxd.it/1Kce,
80,Brighton Rock,1948,https://boxd.it/1QhY,
81,Nightmare Alley,1947,https://boxd.it/1Fya,
82,Odd Man Out,1947,https://boxd.it/Uq4,
83,Out of the Past,1947,https://boxd.it/29PK,
84,Bicycle Thieves,1948,https://boxd.it/23hW,
85,Oliver Twist,1948,https://boxd.it/1V0e,
86,Rope,1948,https://boxd.it/28yo,
87,The Fallen Idol,1948,https://boxd.it/1BzI,
88,The Red Shoes,1948,https://boxd.it/1EXI,
89,The Treasure of the Sierra Madre,1948,https://boxd.it/25Lk,
90,Caught,1949,https://boxd.it/UAe,
91,Criss Cross,1949,https://boxd.it/1B2a,
92,Jour de Fête,1949,https://boxd.it/243Q,
93,Kind Hearts and Coronets,1949,https://boxd.it/1SPe,
94,The Third Man,1949,https://boxd.it/294E,
95,White Heat,1949,https://boxd.it/1Lw0,
96,All About Eve,1950,https://boxd.it/29LI,
97,D.O.A.,1949,https://boxd.it/1FUg,
98,Gun Crazy,1950,https://boxd.it/1Gw0,
