Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-12-14,clone Empire's The 100 Greatest Movies,,https://boxd.it/QEnsG,

Position,Name,Year,URL,Description
1,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
2,The Empire Strikes Back,1980,https://boxd.it/27Vw,
3,The Godfather,1972,https://boxd.it/2aNK,
4,The Dark Knight,2008,https://boxd.it/2b0k,
5,The Shawshank Redemption,1994,https://boxd.it/2aHi,
6,Jaws,1975,https://boxd.it/2a5e,
7,Pulp Fiction,1994,https://boxd.it/29Pq,
8,Avengers: Infinity War,2018,https://boxd.it/9vEe,
9,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
10,GoodFellas,1990,https://boxd.it/29FA,
11,Star Wars,1977,https://boxd.it/72s,
12,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
13,Back to the Future,1985,https://boxd.it/2b8e,
14,The Godfather Part II,1974,https://boxd.it/2aNq,
15,Jurassic Park,1993,https://boxd.it/2aA2,
16,Blade Runner,1982,https://boxd.it/2bcA,
17,Aliens,1986,https://boxd.it/29PA,
18,Parasite,2019,https://boxd.it/hTha,
19,Inception,2010,https://boxd.it/1skk,
20,The Matrix,1999,https://boxd.it/2a1m,
21,Alien,1979,https://boxd.it/2awY,
22,Avengers: Endgame,2019,https://boxd.it/9vE4,
23,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
24,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,
25,Fight Club,1999,https://boxd.it/2a9q,
26,Die Hard,1988,https://boxd.it/2a7u,
27,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
28,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
29,Apocalypse Now,1979,https://boxd.it/6ZS,
30,Heat,1995,https://boxd.it/2bg8,
31,Interstellar,2014,https://boxd.it/4VZ8,
32,The Thing,1982,https://boxd.it/294O,
33,Casablanca,1942,https://boxd.it/2aG0,
34,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,
35,The Shining,1980,https://boxd.it/29Nu,
36,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
37,Se7en,1995,https://boxd.it/29zs,
38,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
39,Gladiator,2000,https://boxd.it/2b9m,
40,Citizen Kane,1941,https://boxd.it/71O,
41,The Silence of the Lambs,1991,https://boxd.it/2aHW,
42,12 Angry Men,1957,https://boxd.it/2auI,
43,There Will Be Blood,2007,https://boxd.it/20Z2,
44,It's a Wonderful Life,1946,https://boxd.it/28xA,
45,The Big Lebowski,1998,https://boxd.it/2b6C,
46,Schindler's List,1993,https://boxd.it/2aq2,
47,Do the Right Thing,1989,https://boxd.it/29gA,
48,Ghostbusters,1984,https://boxd.it/g2w,
49,Spirited Away,2001,https://boxd.it/2b4m,
50,Vertigo,1958,https://boxd.it/2apI,
51,Whiplash,2014,https://boxd.it/7bQA,
52,Point Break,1991,https://boxd.it/2958,
53,Forrest Gump,1994,https://boxd.it/728,
54,Saving Private Ryan,1998,https://boxd.it/29ro,
55,Taxi Driver,1976,https://boxd.it/2b8y,
56,The Social Network,2010,https://boxd.it/17ue,
57,Blade Runner 2049,2017,https://boxd.it/b8wK,
58,Guardians of the Galaxy,2014,https://boxd.it/3VH2,
59,Moonlight,2016,https://boxd.it/d6bE,
60,Hot Fuzz,2007,https://boxd.it/2416,
61,Pan's Labyrinth,2006,https://boxd.it/28No,
62,Lawrence of Arabia,1962,https://boxd.it/2wRE,
63,Get Out,2017,https://boxd.it/eOCm,
64,La La Land,2016,https://boxd.it/a5fa,
65,Seven Samurai,1954,https://boxd.it/2axi,
66,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,
67,Singin' in the Rain,1952,https://boxd.it/29oY,
68,Lady Bird,2017,https://boxd.it/dGNE,
69,Inglourious Basterds,2009,https://boxd.it/1JzG,
70,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
71,Up,2009,https://boxd.it/1OEc,
72,Rear Window,1954,https://boxd.it/2a6Q,
73,Mulholland Drive,2001,https://boxd.it/297o,
74,Trainspotting,1996,https://boxd.it/29XY,
75,A Quiet Place,2018,https://boxd.it/fVJQ,
76,Arrival,2016,https://boxd.it/aNGk,
77,Return of the Jedi,1983,https://boxd.it/27Vm,
78,In the Mood for Love,2000,https://boxd.it/29tE,
79,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,
80,L.A. Confidential,1997,https://boxd.it/27oC,
81,Psycho,1960,https://boxd.it/2ab2,
82,The Usual Suspects,1995,https://boxd.it/29XE,
83,Thor: Ragnarok,2017,https://boxd.it/8MHi,
84,Lost in Translation,2003,https://boxd.it/2b0E,
85,Shaun of the Dead,2004,https://boxd.it/29J8,
86,Black Panther,2018,https://boxd.it/8MHs,
87,The Exorcist,1973,https://boxd.it/1Yoo,
88,Titanic,1997,https://boxd.it/2a2k,
89,No Country for Old Men,2007,https://boxd.it/21ew,
90,The Terminator,1984,https://boxd.it/2aQY,
91,Logan,2017,https://boxd.it/7Piy,
92,Léon: The Professional,1994,https://boxd.it/2b8S,
93,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
94,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
95,Donnie Darko,2001,https://boxd.it/2b2A,
96,Brokeback Mountain,2005,https://boxd.it/2b2q,
97,Amélie,2001,https://boxd.it/2aUc,
98,Paddington 2,2017,https://boxd.it/bCF8,
99,Groundhog Day,1993,https://boxd.it/2b3e,
100,Reservoir Dogs,1992,https://boxd.it/2agc,
