Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-12-14,clone Movies everyone should watch,,https://boxd.it/QEniw,

Position,Name,Year,URL,Description
1,Psycho,1960,https://boxd.it/2ab2,
2,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
3,Schindler's List,1993,https://boxd.it/2aq2,
4,GoodFellas,1990,https://boxd.it/29FA,
5,Back to the Future,1985,https://boxd.it/2b8e,
6,Lawrence of Arabia,1962,https://boxd.it/2wRE,
7,The Virgin Suicides,1999,https://boxd.it/28JG,
8,Come and See,1985,https://boxd.it/1w9q,
9,The Prince of Egypt,1998,https://boxd.it/1XGQ,
10,The Princess Bride,1987,https://boxd.it/26EY,
11,Spirited Away,2001,https://boxd.it/2b4m,
12,The Shawshank Redemption,1994,https://boxd.it/2aHi,
13,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
14,12 Angry Men,1957,https://boxd.it/2auI,
15,High and Low,1963,https://boxd.it/1RSc,
16,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
17,Ikiru,1952,https://boxd.it/251c,
18,The Apartment,1960,https://boxd.it/2aGE,
19,Fight Club,1999,https://boxd.it/2a9q,
20,Do the Right Thing,1989,https://boxd.it/29gA,
21,Jojo Rabbit,2019,https://boxd.it/iEBG,
22,Heat,1995,https://boxd.it/2bg8,
23,Children of Men,2006,https://boxd.it/1Y2i,
24,Citizen Kane,1941,https://boxd.it/71O,
25,Harakiri,1962,https://boxd.it/1NTU,
26,The Wizard of Oz,1939,https://boxd.it/29Xu,
27,Titanic,1997,https://boxd.it/2a2k,
28,A Silent Voice: The Movie,2016,https://boxd.it/d99c,
29,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
30,Good Will Hunting,1997,https://boxd.it/2ahY,
31,City of God,2002,https://boxd.it/2a2a,
32,The Elephant Man,1980,https://boxd.it/27LQ,
33,Casablanca,1942,https://boxd.it/2aG0,
34,Requiem for a Dream,2000,https://boxd.it/29VI,
35,Finding Nemo,2003,https://boxd.it/72i,
36,The Godfather Part II,1974,https://boxd.it/2aNq,
37,Pulp Fiction,1994,https://boxd.it/29Pq,
38,Clue,1985,https://boxd.it/1MDQ,
39,It's a Wonderful Life,1946,https://boxd.it/28xA,
40,Kung Fu Panda,2008,https://boxd.it/1Yws,
41,There Will Be Blood,2007,https://boxd.it/20Z2,
42,Memento,2000,https://boxd.it/2bcK,
43,The Thing,1982,https://boxd.it/294O,
44,Amadeus,1984,https://boxd.it/2aH8,
45,The Truman Show,1998,https://boxd.it/18U8,
46,American History X,1998,https://boxd.it/2bdo,
47,Akira,1988,https://boxd.it/2b1i,
48,City Lights,1931,https://boxd.it/29ki,
49,The Godfather,1972,https://boxd.it/2aNK,
50,The Matrix,1999,https://boxd.it/2a1m,
51,Before Sunrise,1995,https://boxd.it/2bcU,
52,Toy Story,1995,https://boxd.it/29qA,
53,The Lion King,1994,https://boxd.it/201Q,
54,When Harry Met Sally...,1989,https://boxd.it/29W2,
55,Up,2009,https://boxd.it/1OEc,
56,Stand by Me,1986,https://boxd.it/2aOe,
57,The Sandlot,1993,https://boxd.it/1TDy,
58,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,
59,Seven Samurai,1954,https://boxd.it/2axi,
60,Grave of the Fireflies,1988,https://boxd.it/1RUM,
61,Groundhog Day,1993,https://boxd.it/2b3e,
62,Millennium Actress,2001,https://boxd.it/1fK0,
63,Interstellar,2014,https://boxd.it/4VZ8,
64,Charade,1963,https://boxd.it/23O2,
65,La Haine,1995,https://boxd.it/2as8,
66,Amélie,2001,https://boxd.it/2aUc,
67,Life Is Beautiful,1997,https://boxd.it/29Wm,
68,In the Mood for Love,2000,https://boxd.it/29tE,
69,Alien,1979,https://boxd.it/2awY,
70,Star Wars,1977,https://boxd.it/72s,
71,Vertigo,1958,https://boxd.it/2apI,
72,The Shining,1980,https://boxd.it/29Nu,
73,Roman Holiday,1953,https://boxd.it/29zW,
74,Run Lola Run,1998,https://boxd.it/2b8o,
75,The Dark Knight,2008,https://boxd.it/2b0k,
76,Cast Away,2000,https://boxd.it/20i8,
77,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
78,The Graduate,1967,https://boxd.it/18Im,
79,Midnight in Paris,2011,https://boxd.it/i4a,
80,The SpongeBob SquarePants Movie,2004,https://boxd.it/1SYq,
81,Mean Girls,2004,https://boxd.it/1VNg,
82,Singin' in the Rain,1952,https://boxd.it/29oY,
83,Y Tu Mamá También,2001,https://boxd.it/28QM,
84,Once Upon a Time in the West,1968,https://boxd.it/2az4,
85,Scream,1996,https://boxd.it/24EC,
86,Ratatouille,2007,https://boxd.it/27ww,
87,Se7en,1995,https://boxd.it/29zs,
88,Princess Mononoke,1997,https://boxd.it/2b4w,
89,Spider-Man 2,2004,https://boxd.it/2a88,
90,Blade Runner,1982,https://boxd.it/2bcA,
91,Eyes Wide Shut,1999,https://boxd.it/2axs,
92,The Notebook,2004,https://boxd.it/1UNE,
93,La La Land,2016,https://boxd.it/a5fa,
94,Spotlight,2015,https://boxd.it/a84k,
95,"Paris, Texas",1984,https://boxd.it/29Ts,
96,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
97,Scarface,1983,https://boxd.it/2b7g,
98,The Avengers,2012,https://boxd.it/1xFW,
99,Prisoners,2013,https://boxd.it/4E5i,
100,The Exorcist,1973,https://boxd.it/1Yoo,
101,Forrest Gump,1994,https://boxd.it/728,
102,The Pursuit of Happyness,2006,https://boxd.it/28PE,
103,The Empire Strikes Back,1980,https://boxd.it/27Vw,
104,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,
105,Parasite,2019,https://boxd.it/hTha,
106,Whiplash,2014,https://boxd.it/7bQA,
107,Django Unchained,2012,https://boxd.it/2cCk,
108,Taxi Driver,1976,https://boxd.it/2b8y,
109,Home Alone,1990,https://boxd.it/29Fg,
110,Mulholland Drive,2001,https://boxd.it/297o,
111,Aftersun,2022,https://boxd.it/Arw0,
112,Scent of a Woman,1992,https://boxd.it/1YAu,
113,Cinema Paradiso,1988,https://boxd.it/1UlA,
114,Jurassic Park,1993,https://boxd.it/2aA2,
115,Shrek,2001,https://boxd.it/29zi,
116,Gone with the Wind,1939,https://boxd.it/29Fq,
117,Punch-Drunk Love,2002,https://boxd.it/20E4,
118,Hacksaw Ridge,2016,https://boxd.it/azew,
119,The Tree of Life,2011,https://boxd.it/1Zu8,
120,Mr. Nobody,2009,https://boxd.it/1k44,
121,Saving Private Ryan,1998,https://boxd.it/29ro,
122,To Kill a Mockingbird,1962,https://boxd.it/2a2E,
123,Network,1976,https://boxd.it/1VqG,
124,Dead Poets Society,1989,https://boxd.it/2aSg,
125,Speed Racer,2008,https://boxd.it/20UQ,
126,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,
127,Strangers on a Train,1951,https://boxd.it/29tk,
128,The Breakfast Club,1985,https://boxd.it/27q4,
129,Rocky,1976,https://boxd.it/28Uk,
130,Annie Hall,1977,https://boxd.it/29M2,
131,My Girl,1991,https://boxd.it/24PK,
132,My Cousin Vinny,1992,https://boxd.it/1WpO,
133,Dune: Part Two,2024,https://boxd.it/pUfA,
134,Incendies,2010,https://boxd.it/Msm,
135,Ed Wood,1994,https://boxd.it/2adM,
136,The Social Network,2010,https://boxd.it/17ue,
137,Moonlight,2016,https://boxd.it/d6bE,
138,10 Things I Hate About You,1999,https://boxd.it/23AO,
139,The Usual Suspects,1995,https://boxd.it/29XE,
140,My Neighbor Totoro,1988,https://boxd.it/20eA,
141,Catch Me If You Can,2002,https://boxd.it/29VS,
142,Remember the Titans,2000,https://boxd.it/1VLk,
143,The Iron Giant,1999,https://boxd.it/1Wow,
144,Office Space,1999,https://boxd.it/28Em,
145,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,
146,The Goonies,1985,https://boxd.it/1YVC,
147,The Sting,1973,https://boxd.it/1Z5s,
148,Inside Out,2015,https://boxd.it/4KHC,
149,Manchester by the Sea,2016,https://boxd.it/b2L0,
150,The Fifth Element,1997,https://boxd.it/71k,
151,Life,1999,https://boxd.it/21zE,
152,A Knight's Tale,2001,https://boxd.it/1YAk,
153,"Synecdoche, New York",2008,https://boxd.it/23zw,
154,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
155,Stalker,1979,https://boxd.it/28PO,
156,Hot Fuzz,2007,https://boxd.it/2416,
157,American Beauty,1999,https://boxd.it/71Y,
158,Fantastic Planet,1973,https://boxd.it/1KnQ,
159,The Sixth Sense,1999,https://boxd.it/29Js,
160,The Treasure of the Sierra Madre,1948,https://boxd.it/25Lk,
161,Uncut Gems,2019,https://boxd.it/gXGc,
162,Gladiator,2000,https://boxd.it/2b9m,
163,Hook,1991,https://boxd.it/29nQ,
164,The Intouchables,2011,https://boxd.it/2FT0,
165,Bridesmaids,2011,https://boxd.it/rac,
166,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
167,Training Day,2001,https://boxd.it/27A4,
168,Rush Hour,1998,https://boxd.it/27pU,
169,Mommy,2014,https://boxd.it/7Uau,
170,The Hunt,2012,https://boxd.it/3wEC,
171,Chungking Express,1994,https://boxd.it/1UDa,
172,Memories of Murder,2003,https://boxd.it/1TSo,
173,Shutter Island,2010,https://boxd.it/1U82,
174,The Imitation Game,2014,https://boxd.it/6aig,
175,What Dreams May Come,1998,https://boxd.it/1SoM,
176,Warrior,2011,https://boxd.it/i3G,
177,Children of Paradise,1945,https://boxd.it/26H4,
178,Christiane F.,1981,https://boxd.it/1YiA,
179,The Lives of Others,2006,https://boxd.it/2a4A,
180,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,
181,The Silence of the Lambs,1991,https://boxd.it/2aHW,
182,The Departed,2006,https://boxd.it/28MA,
183,Speed,1994,https://boxd.it/28qk,
184,Bonnie and Clyde,1967,https://boxd.it/2ajg,
185,Sling Blade,1996,https://boxd.it/1RRo,
186,The Seventh Seal,1957,https://boxd.it/2ahO,
187,The Night of the Hunter,1955,https://boxd.it/25HW,
188,Inception,2010,https://boxd.it/1skk,
189,Magnolia,1999,https://boxd.it/2aze,
190,The Big Lebowski,1998,https://boxd.it/2b6C,
191,Repo Man,1984,https://boxd.it/1Plg,
192,Die Hard,1988,https://boxd.it/2a7u,
193,BlacKkKlansman,2018,https://boxd.it/hxL8,
194,Mission: Impossible,1996,https://boxd.it/29d2,
195,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ,
196,Superbad,2007,https://boxd.it/20hO,
197,Trainspotting,1996,https://boxd.it/29XY,
198,Friday,1995,https://boxd.it/1VLO,
199,The Princess Diaries,2001,https://boxd.it/1XCO,
200,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
201,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
202,Coco,2017,https://boxd.it/bYJQ,
203,Drive,2011,https://boxd.it/IG,
204,Aladdin,1992,https://boxd.it/29yE,
205,Braveheart,1995,https://boxd.it/2aTI,
206,Rain Man,1988,https://boxd.it/2avw,
207,Casino Royale,2006,https://boxd.it/1alk,
208,Step Brothers,2008,https://boxd.it/1SsE,
209,The Cranes Are Flying,1957,https://boxd.it/169Y,
210,Secrets & Lies,1996,https://boxd.it/1UuC,
211,A Man and a Woman,1966,https://boxd.it/Wb6,
212,WALL·E,2008,https://boxd.it/1VEo,
213,Raise the Red Lantern,1991,https://boxd.it/1WlC,
214,A Taxi Driver,2017,https://boxd.it/fwac,
215,Let the Right One In,2008,https://boxd.it/1Qr0,
216,What's Eating Gilbert Grape,1993,https://boxd.it/28xg,
217,Barbie,2023,https://boxd.it/bCLK,
218,Oldboy,2003,https://boxd.it/29R2,
219,Amores Perros,2000,https://boxd.it/2bfu,
220,The Terminal,2004,https://boxd.it/2a2O,
221,Howl's Moving Castle,2004,https://boxd.it/23De,
222,Jaws,1975,https://boxd.it/2a5e,
223,Pride & Prejudice,2005,https://boxd.it/24u8,
224,Edward Scissorhands,1990,https://boxd.it/2aZc,
225,Moonstruck,1987,https://boxd.it/27zg,
226,Airplane!,1980,https://boxd.it/29yu,
227,Chicago,2002,https://boxd.it/28zm,
228,Some Like It Hot,1959,https://boxd.it/2aNA,
229,Three Colours: Red,1994,https://boxd.it/2b7q,
230,Thelma & Louise,1991,https://boxd.it/28Ew,
231,The 400 Blows,1959,https://boxd.it/2b1C,
232,Hocus Pocus,1993,https://boxd.it/1Wgi,
233,Rosemary's Baby,1968,https://boxd.it/29zM,
234,Isle of Dogs,2018,https://boxd.it/dZrW,
235,My Life as a Dog,1985,https://boxd.it/1ZOM,
236,Pierrot le Fou,1965,https://boxd.it/26j2,
237,Sound of Metal,2019,https://boxd.it/i7Q4,
238,A Star Is Born,2018,https://boxd.it/aXgc,
239,In Bruges,2008,https://boxd.it/20n8,
240,Get Out,2017,https://boxd.it/eOCm,
241,The Secret in Their Eyes,2009,https://boxd.it/1vWw,
242,Boyhood,2014,https://boxd.it/3178,
243,Bicycle Thieves,1948,https://boxd.it/23hW,
244,Beauty and the Beast,1991,https://boxd.it/1XhG,
245,Once Upon a Time in America,1984,https://boxd.it/2aCs,
246,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/18YE,
247,Hereditary,2018,https://boxd.it/hNVe,
248,Snow White and the Seven Dwarfs,1937,https://boxd.it/2arO,
249,Your Name.,2016,https://boxd.it/cUqs,
250,Rear Window,1954,https://boxd.it/2a6Q,
251,"Crouching Tiger, Hidden Dragon",2000,https://boxd.it/2b1M,
252,Ghost in the Shell,1995,https://boxd.it/1YYc,
253,Cléo from 5 to 7,1962,https://boxd.it/2agm,
254,Clerks,1994,https://boxd.it/2706,
255,The Banshees of Inisherin,2022,https://boxd.it/p7XS,
256,The Wild Robot,2024,https://boxd.it/IWFy,
257,The Addams Family,1991,https://boxd.it/267g,
258,Chinatown,1974,https://boxd.it/29vU,
259,No Country for Old Men,2007,https://boxd.it/21ew,
260,Gone Girl,2014,https://boxd.it/6hQu,
261,Donnie Darko,2001,https://boxd.it/2b2A,
262,The Parent Trap,1998,https://boxd.it/1XJq,
263,Tampopo,1985,https://boxd.it/1SZe,
264,Inglourious Basterds,2009,https://boxd.it/1JzG,
265,The Blues Brothers,1980,https://boxd.it/2adi,
266,The Father,2020,https://boxd.it/m8Ie,
267,Persona,1966,https://boxd.it/29B4,
268,Wait Until Dark,1967,https://boxd.it/1Unc,
269,The Green Mile,1999,https://boxd.it/2agG,
270,Raising Arizona,1987,https://boxd.it/2avQ,
271,Corpse Bride,2005,https://boxd.it/24WQ,
272,Snatch,2000,https://boxd.it/2b7U,
273,Ex Machina,2015,https://boxd.it/7T2k,
274,Stardust,2007,https://boxd.it/272w,
275,Blazing Saddles,1974,https://boxd.it/1UHQ,
276,Kung Fu Hustle,2004,https://boxd.it/1YBi,
277,Night of the Living Dead,1968,https://boxd.it/1WwA,
278,Fargo,1996,https://boxd.it/2aHM,
279,"tick, tick... BOOM!",2021,https://boxd.it/jz2e,
280,Good Time,2017,https://boxd.it/fcFu,
281,"Monsters, Inc.",2001,https://boxd.it/2a46,
282,The Farewell,2019,https://boxd.it/kIky,
