Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-03-31,clone The Complete Criterion Collection,,https://boxd.it/Tzd5u,

Position,Name,Year,URL,Description
1,It Was Just an Accident,2025,https://boxd.it/TX2k,"Director: Jafar Panahi
Spine Number: 1317"
2,Desperate Living,1977,https://boxd.it/1Or8,"Director: John Waters
Spine Number: 1316"
3,Hairspray,1988,https://boxd.it/1UKK,"Director: John Waters
Spine Number: 1315"
4,High Art,1998,https://boxd.it/17Sg,"Director: Lisa Cholodenko
Spine Number: 1314"
5,West Indies,1979,https://boxd.it/8bHg,"Director: Med Hondo
Spine Number: 1313"
6,Lenny,1974,https://boxd.it/1sym,"Director: Bob Fosse
Spine Number: 1312"
7,Sentimental Value,2025,https://boxd.it/GwcG,"Director: Joachim Trier
Spine Number: 1311"
8,Fresh Kill,1994,https://boxd.it/d3X6,"Director: Shu Lea Cheang
Spine Number: 1310"
9,The Delta,1996,https://boxd.it/3CFQ,"Director: Ira Sachs
Spine Number: 1309"
10,Body Heat,1981,https://boxd.it/1O9S,"Director: Lawrence Kasdan
Spine Number: 1308"
11,Baby Boy,2001,https://boxd.it/1KGS,"Director: John Singleton
Spine Number: 1307
Collection: <i>John Singleton's Hood Trilogy</i>"
12,Poetic Justice,1993,https://boxd.it/20og,"Director: John Singleton
Spine Number: 1307
Collection: <i>John Singleton's Hood Trilogy</i>"
13,Boyz n the Hood,1991,https://boxd.it/29Ug,"Director: John Singleton
Spine Number: 1307
Collection: <i>John Singleton's Hood Trilogy</i>"
14,Point Blank,1967,https://boxd.it/1uAE,"Director: John Boorman
Spine Number: 1306"
15,The Blade,1995,https://boxd.it/VSy,"Director: Tsui Hark
Spine Number: 1305"
16,A Man and a Woman,1966,https://boxd.it/Wb6,"Director: Claude Lelouch
Spine Number: 1304"
17,Testament,1983,https://boxd.it/1CcK,"Director: Lynne Littman
Spine Number: 1303"
18,Killers of the Flower Moon,2023,https://boxd.it/gHp0,"Director: Martin Scorsese
Spine Number: 1302"
19,The Man Who Wasn't There,2001,https://boxd.it/1Vqc,"Director: Joel Coen
Spine Number: 1301"
20,Network,1976,https://boxd.it/1VqG,"Director: Sidney Lumet
Spine Number: 1300"
21,Kiss of the Spider Woman,1985,https://boxd.it/1Tci,"Director: Héctor Babenco
Spine Number: 1299"
22,Birth,2004,https://boxd.it/1VvQ,"Director: Jonathan Glazer
Spine Number: 1298"
23,Captain Blood,1935,https://boxd.it/1JvO,"Director: Michael Curtiz
Spine Number: 1297"
24,The Fall of Otrar,1991,https://boxd.it/HRQ,"Director: Ardak Amirkulov
Spine Number: 1296
Collection: <i>Martin Scorsese's World Cinema Project No. 5</i>"
25,The Choice,1987,https://boxd.it/86KY,"Director: Idrissa Ouédraogo
Spine Number: 1296
Collection: <i>Martin Scorsese's World Cinema Project No. 5</i>"
26,Kummatty,1979,https://boxd.it/7yMw,"Director: G. Aravindan
Spine Number: 1296
Collection: <i>Martin Scorsese's World Cinema Project No. 5</i>"
27,Chronicle of the Years of Fire,1975,https://boxd.it/yH8,"Director: Mohammed Lakhdar-Hamina
Spine Number: 1296
Collection: <i>Martin Scorsese's World Cinema Project No. 5</i>"
28,The Dead,1987,https://boxd.it/13vC,"Director: John Huston
Spine Number: 1295"
29,David Byrne's American Utopia,2020,https://boxd.it/oUAG,"Director: Spike Lee
Spine Number: 1294"
30,Pee-wee's Big Adventure,1985,https://boxd.it/22Lw,"Director: Tim Burton
Spine Number: 1293"
31,Salaam Bombay!,1988,https://boxd.it/Qhi,"Director: Mira Nair
Spine Number: 1292"
32,The Mysteries of the Chateau of Dice,1929,https://boxd.it/4shw,"Director: Man Ray
Spine Number: 1291
Collection: <i>Four Films by Man Ray</i>"
33,The Starfish,1928,https://boxd.it/3gkQ,"Director: Man Ray
Spine Number: 1291
Collection: <i>Four Films by Man Ray</i>"
34,Emak-Bakia,1926,https://boxd.it/4mRI,"Director: Man Ray
Spine Number: 1291
Collection: <i>Four Films by Man Ray</i>"
35,Return to Reason,1923,https://boxd.it/4shm,"Director: Man Ray
Spine Number: 1291
Collection: <i>Four Films by Man Ray</i>"
36,Eyes Wide Shut,1999,https://boxd.it/2axs,"Director: Stanley Kubrick
Spine Number: 1290"
37,Él,1953,https://boxd.it/UIM,"Director: Luis Buñuel
Spine Number: 1289"
38,Hell's Angels,1930,https://boxd.it/1AMQ,"Director: Howard Hughes
Spine Number: 1288"
39,House Party,1990,https://boxd.it/1KPU,"Director: Reginald Hudlin
Spine Number: 1287"
40,Nightmare Alley,2021,https://boxd.it/m0HC,"Director: Guillermo del Toro
Spine Number: 1286"
41,Deep Crimson,1996,https://boxd.it/LLM,"Director: Arturo Ripstein
Spine Number: 1285"
42,Altered States,1980,https://boxd.it/1TBi,"Director: Ken Russell
Spine Number: 1284"
43,A History of Violence,2005,https://boxd.it/2bfa,"Director: David Cronenberg
Spine Number: 1283"
44,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,"Director: Wes Anderson
Spine Number: 1282
Collection: <i>The Wes Anderson Archive<i>"
45,Isle of Dogs,2018,https://boxd.it/dZrW,"Director: Wes Anderson
Spine Number: 1281
Collection: <i>The Wes Anderson Archive<i>"
46,The Beat That My Heart Skipped,2005,https://boxd.it/28CK,"Director: Jacques Audiard
Spine Number: 1280"
47,Read My Lips,2001,https://boxd.it/21Xw,"Director: Jacques Audiard
Spine Number: 1279"
48,Flow,2024,https://boxd.it/v1Ei,"Director: Gints Zilbalodis
Spine Number: 1278"
49,Born in Flames,1983,https://boxd.it/19IC,"Director: Lizzie Borden
Spine Number: 1277"
50,Saving Face,2004,https://boxd.it/1Fj0,"Director: Alice Wu
Spine Number: 1276"
51,Mahjong,1996,https://boxd.it/uku,"Director: Edward Yang
Spine Number: 1275
Collection: <i>Two Films by Edward Yang</i>"
52,A Confucian Confusion,1994,https://boxd.it/uNc,"Director: Edward Yang
Spine Number: 1275
Collection: <i>Two Films by Edward Yang</i>"
