Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-12-17,clone Edgar Wright,,https://boxd.it/QIJ3m,

Position,Name,Year,URL,Description
1,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo,
2,Nosferatu,1922,https://boxd.it/29TM,
3,Safety Last!,1923,https://boxd.it/1AkW,
4,Sherlock Jr.,1924,https://boxd.it/298m,
5,The Gold Rush,1925,https://boxd.it/29ce,
6,Faust,1926,https://boxd.it/1Vxi,
7,The General,1926,https://boxd.it/29co,
8,Metropolis,1927,https://boxd.it/71a,
9,Sunrise: A Song of Two Humans,1927,https://boxd.it/29Xk,
10,The Lodger: A Story of the London Fog,1927,https://boxd.it/26m6,
11,"Steamboat Bill, Jr.",1928,https://boxd.it/1v9u,
12,The Passion of Joan of Arc,1928,https://boxd.it/29DO,
13,Underground,1928,https://boxd.it/25ck,
14,Blackmail,1929,https://boxd.it/2aao,
15,Man with a Movie Camera,1929,https://boxd.it/1u7s,
16,Un Chien Andalou,1929,https://boxd.it/29Y8,
17,Animal Crackers,1930,https://boxd.it/1P9u,
18,L'Âge d'or,1930,https://boxd.it/22FI,
19,Morocco,1930,https://boxd.it/Woa,
20,People on Sunday,1930,https://boxd.it/2ax8,
21,City Lights,1931,https://boxd.it/29ki,
22,Dracula,1931,https://boxd.it/2b34,
23,Frankenstein,1931,https://boxd.it/25Te,
24,Little Caesar,1931,https://boxd.it/1qIu,
25,M,1931,https://boxd.it/29vq,
26,Monkey Business,1931,https://boxd.it/1P9O,
27,The Public Enemy,1931,https://boxd.it/1IdY,
28,Freaks,1932,https://boxd.it/2b3o,
29,Island of Lost Souls,1932,https://boxd.it/25TS,
30,Love Me Tonight,1932,https://boxd.it/1iTa,
31,Scarface,1932,https://boxd.it/29oa,
32,The Mummy,1932,https://boxd.it/1LnW,
33,The Music Box,1932,https://boxd.it/QPO,
34,The Old Dark House,1932,https://boxd.it/1iL6,
35,42nd Street,1933,https://boxd.it/25PQ,
36,Duck Soup,1933,https://boxd.it/25PG,
37,Footlight Parade,1933,https://boxd.it/1pBM,
38,Gold Diggers of 1933,1933,https://boxd.it/1iW4,
39,King Kong,1933,https://boxd.it/2aMM,
40,Mystery of the Wax Museum,1933,https://boxd.it/1gJW,
41,Sons of the Desert,1933,https://boxd.it/VdA,
42,The Invisible Man,1933,https://boxd.it/1VoK,
43,The Testament of Dr. Mabuse,1933,https://boxd.it/1Sia,
44,Dames,1934,https://boxd.it/Ti4,
45,The Man Who Knew Too Much,1934,https://boxd.it/20uI,
46,The Merry Widow,1934,https://boxd.it/TQg,
47,The Scarlet Empress,1934,https://boxd.it/1iTO,
48,The Thin Man,1934,https://boxd.it/25gw,
