Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-10-12,Empire Masterpieces,,https://boxd.it/8WYew,

Position,Name,Year,URL,Description
1,Raging Bull,1980,https://boxd.it/28yI,Issue 167 - May 2003
2,Gone with the Wind,1939,https://boxd.it/29Fq,Issue 168 - June 2003
3,The Shawshank Redemption,1994,https://boxd.it/2aHi,Issue 170 - August 2003
4,Casablanca,1942,https://boxd.it/2aG0,Issue 171 - September 2003
5,Blade Runner,1982,https://boxd.it/2bcA,Issue 172 - October 2003
6,La Dolce Vita,1960,https://boxd.it/2anC,Issue 173 - November 2003
7,The Shining,1980,https://boxd.it/29Nu,Issue 174 - December 2003
8,The Third Man,1949,https://boxd.it/294E,Issue 175 - January 2004
9,The 400 Blows,1959,https://boxd.it/2b1C,Issue 176 - February 2004
10,His Girl Friday,1940,https://boxd.it/25M8,Issue 177 - March 2004
11,Schindler's List,1993,https://boxd.it/2aq2,Issue 178 - April 2004
12,The Godfather,1972,https://boxd.it/2aNK,Issue 180 - June 2004
13,King Kong,1933,https://boxd.it/2aMM,Issue 181 - July 2004
14,Seven Samurai,1954,https://boxd.it/2axi,Issue 183 - August 2004
15,Fight Club,1999,https://boxd.it/2a9q,Issue 183 - September 2004
16,Tokyo Story,1953,https://boxd.it/1HuY,Issue 184 - October 2004
17,Annie Hall,1977,https://boxd.it/29M2,Issue 185 - November 2004
18,Bride of Frankenstein,1935,https://boxd.it/2aPc,Issue 186 - December 2004
19,It's a Wonderful Life,1946,https://boxd.it/28xA,Issue 187 - January 2005
20,This Is Spinal Tap,1984,https://boxd.it/1UOs,Issue 188 - February 2005
21,The Silence of the Lambs,1991,https://boxd.it/2aHW,Issue 189 - March 2005
22,L'Atalante,1934,https://boxd.it/ThU,Issue 190 - April 2005
23,L.A. Confidential,1997,https://boxd.it/27oC,"Issue 191 - May 2005
Issue 303 - September 2014"
24,The Searchers,1956,https://boxd.it/25HC,Issue 192 - June 2005
25,Do the Right Thing,1989,https://boxd.it/29gA,"Issue 193 - June 2005
words by Luke Goodsell"
26,Brief Encounter,1945,https://boxd.it/29sm,Issue 194 - August 2005
27,Brazil,1985,https://boxd.it/2be2,Issue 195 - September 2005
28,On the Waterfront,1954,https://boxd.it/29TC,"Issue 199 - January 2006
words by Adam Smith"
29,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,"Issue 200 - February 2006
words by Will Lawrence"
30,"Rome, Open City",1945,https://boxd.it/2aD6,Issue 201 - March 2006
31,The General,1926,https://boxd.it/29co,Issue 202 - April 2006
32,Deliverance,1972,https://boxd.it/1VGk,Issue 203 - May 2006
33,The French Connection,1971,https://boxd.it/296g,"Issue 204 - June 2006
words by Simon Crook"
34,The Battle of Algiers,1966,https://boxd.it/1IRY,Issue 205 - July 2006
35,Das Boot,1981,https://boxd.it/2av2,"Issue 206 - August 2006
words by Nick de Semlyen"
36,Don't Look Now,1973,https://boxd.it/29fC,"Issue 207 - September 2006
words by Alan Morrison"
37,Vertigo,1958,https://boxd.it/2apI,"Issue 208 - October 2006
words by Simon Braund"
38,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,"Issue 209 - November 2006
words by Ian Nathan"
39,Some Like It Hot,1959,https://boxd.it/2aNA,"Issue 210 - December 2006
words by Simon Braund"
40,The Wizard of Oz,1939,https://boxd.it/29Xu,"Issue 211 - January 2007
words by Angie Errigo"
41,The Wages of Fear,1953,https://boxd.it/2aSK,"Issue 212 - February 2007
words by Ian Nathan"
42,Belle de Jour,1967,https://boxd.it/29Uq,Issue 213 - March 2007
43,The Spirit of the Beehive,1973,https://boxd.it/24eY,Issue 214 - April 2007
44,Die Hard,1988,https://boxd.it/2a7u,"Issue 215 - May 2007
words by Chris Hewitt"
45,A Clockwork Orange,1971,https://boxd.it/2aVE,"Issue 216 - June 2007
words by Chris Hewitt"
46,Performance,1970,https://boxd.it/1txE,Issue 217 - July 2007
47,Bringing Up Baby,1938,https://boxd.it/29ks,Issue 218 - August 2007
48,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,"Issue 219 - September 2007
words by Simon Braund"
49,The Big Sleep,1946,https://boxd.it/29iQ,"Issue 220 - October 2007
words by Kim Newman"
50,Days of Thunder,1990,https://boxd.it/27os,Issue 221 - November 2007
51,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo,"Issue 222 - December 2007
words by Alan Morrison"
52,Bicycle Thieves,1948,https://boxd.it/23hW,"Issue 223 - January 2008
words by Simon Braund"
53,Cabaret,1972,https://boxd.it/1Vpe,"Issue 224 - February 2008
words by Alan Morrison"
54,The Wild Bunch,1969,https://boxd.it/2a5y,"Issue 225 - March 2008
words by Owen Williams"
55,Glengarry Glen Ross,1992,https://boxd.it/1Yw8,"Issue 226 - April 2008
words by Adam Smith"
56,The Fly,1986,https://boxd.it/1YIe,"Issue 227 - May 2008
words by Kim Newman"
57,Out of the Past,1947,https://boxd.it/29PK,Issue 228 - June 2008
58,Rear Window,1954,https://boxd.it/2a6Q,"Issue 229 - July 2008
words by Ian Nathan"
59,Forbidden Planet,1956,https://boxd.it/29vK,"Issue 230 - August 2008
words by Kim Newman"
60,The Night of the Hunter,1955,https://boxd.it/25HW,"Issue 231 - September 2008
words by Simon Braund"
61,Network,1976,https://boxd.it/1VqG,"Issue 232 - October 2008
words by Adam Smith"
62,Kind Hearts and Coronets,1949,https://boxd.it/1SPe,Issue 233 - November 2008
63,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,"Issue 234 - December 2008
words by Kim Newman"
64,Rio Bravo,1959,https://boxd.it/2aE4,"Issue 235 - January 2009
words by Nev Pierce"
65,8½,1963,https://boxd.it/2aqm,"Issue 236 - February 2009
words by Simon Braund"
66,Spartacus,1960,https://boxd.it/29bq,"Issue 237 - March 2009
words by Angie Errigo"
67,The Birds,1963,https://boxd.it/2a6m,"Issue 238 - April 2009
words by Adam Smith"
68,GoodFellas,1990,https://boxd.it/29FA,"Issue 239 - May 2009
words by Nev Pierce"
69,The Treasure of the Sierra Madre,1948,https://boxd.it/25Lk,"Issue 241 - July 2009
words by Simon Braund"
70,Amadeus,1984,https://boxd.it/2aH8,Issue 242 - August 2009
71,To Kill a Mockingbird,1962,https://boxd.it/2a2E,"Issue 243 - September 2009
words by David Michael Brown"
72,Suspiria,1977,https://boxd.it/1SNW,"Issue 244 - October 2009
words by Adam Smith"
73,Kiss Me Deadly,1955,https://boxd.it/1HHe,"Issue 245 - November 2009
words by Simon Braund"
74,Magnolia,1999,https://boxd.it/2aze,"Issue 247 - January 2010
Issue 372 - March 2020
words by Ella Kemp"
75,All About Eve,1950,https://boxd.it/29LI,"Issue 248 - February 2010
words by Simon Braund"
76,All the President's Men,1976,https://boxd.it/29lU,"Issue 249 - March 2010
words by Simon Braund"
77,Fitzcarraldo,1982,https://boxd.it/1YV8,"Issue 250 - April 2010
words by Adam Smith"
78,McCabe & Mrs. Miller,1971,https://boxd.it/1ooC,"Issue 251 - May 2010
words by Will Lawrence"
79,Rififi,1955,https://boxd.it/29f8,"Issue 252 - June 2010
words by Simon Braund"
80,The Dirty Dozen,1967,https://boxd.it/28nK,"Issue 253 - July 2010
words by Chris Hewitt"
81,"Now, Voyager",1942,https://boxd.it/1gvq,Issue 254 - August 2010
82,Stagecoach,1939,https://boxd.it/297S,"Issue 255 - September 2010
words by Owen Williams"
83,Solaris,1972,https://boxd.it/2a2Y,
84,The Court Jester,1955,https://boxd.it/1SXW,
85,Knife in the Water,1962,https://boxd.it/1THK,
86,Stalag 17,1953,https://boxd.it/29Xa,
87,Sleeper,1973,https://boxd.it/1Tye,
88,Lost Horizon,1937,https://boxd.it/257Y,
89,Nashville,1975,https://boxd.it/25GE,
90,Chinatown,1974,https://boxd.it/29vU,
91,Double Indemnity,1944,https://boxd.it/297I,
92,The African Queen,1951,https://boxd.it/2ai8,
93,Sunset Boulevard,1950,https://boxd.it/2a20,
94,Witness,1985,https://boxd.it/1Z4O,
95,Manhattan,1979,https://boxd.it/29Na,
96,When Harry Met Sally...,1989,https://boxd.it/29W2,
97,Passport to Pimlico,1949,https://boxd.it/1lYM,
98,Fargo,1996,https://boxd.it/2aHM,
99,Mr. Smith Goes to Washington,1939,https://boxd.it/25Ms,
100,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,
101,Sweet Smell of Success,1957,https://boxd.it/29aW,
102,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,
103,Badlands,1973,https://boxd.it/25Fm,
104,Citizen Kane,1941,https://boxd.it/71O,
105,Eyes Without a Face,1960,https://boxd.it/1j9i,
106,The Apartment,1960,https://boxd.it/2aGE,
107,The Leopard,1963,https://boxd.it/296K,
108,Once Upon a Time in the West,1968,https://boxd.it/2az4,
109,Groundhog Day,1993,https://boxd.it/2b3e,
110,The Thief of Bagdad,1924,https://boxd.it/1ot8,
111,Rosemary's Baby,1968,https://boxd.it/29zM,
112,Night and the City,1950,https://boxd.it/1FFg,
113,Top Hat,1935,https://boxd.it/25MW,
114,The Graduate,1967,https://boxd.it/18Im,
115,12 Angry Men,1957,https://boxd.it/2auI,
116,Big Wednesday,1978,https://boxd.it/1H4w,
117,Se7en,1995,https://boxd.it/29zs,
118,"The Cook, the Thief, His Wife & Her Lover",1989,https://boxd.it/20VO,
119,Throne of Blood,1957,https://boxd.it/251w,
120,M,1931,https://boxd.it/29vq,
121,Oldboy,2003,https://boxd.it/29R2,
122,Wild Strawberries,1957,https://boxd.it/29ZU,
123,"sex, lies, and videotape",1989,https://boxd.it/28Oc,
124,Pulp Fiction,1994,https://boxd.it/29Pq,
125,Scream,1996,https://boxd.it/24EC,
126,Toy Story,1995,https://boxd.it/29qA,
127,The Blair Witch Project,1999,https://boxd.it/26ua,
