Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-12-28,Empire Top 100,,https://boxd.it/R1hyu,

Position,Name,Year,URL,Description
1,Jaws,1975,https://boxd.it/2a5e,
2,The Godfather,1972,https://boxd.it/2aNK,
3,The Shawshank Redemption,1994,https://boxd.it/2aHi,
4,The Empire Strikes Back,1980,https://boxd.it/27Vw,
5,Aliens,1986,https://boxd.it/29PA,
6,Inception,2010,https://boxd.it/1skk,
7,GoodFellas,1990,https://boxd.it/29FA,
8,Star Wars,1977,https://boxd.it/72s,
9,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
10,The Dark Knight,2008,https://boxd.it/2b0k,
11,Pulp Fiction,1994,https://boxd.it/29Pq,
12,Back to the Future,1985,https://boxd.it/2b8e,
13,Jurassic Park,1993,https://boxd.it/2aA2,
14,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
15,Blade Runner,1982,https://boxd.it/2bcA,
16,The Godfather Part II,1974,https://boxd.it/2aNq,
17,Alien,1979,https://boxd.it/2awY,
18,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,
19,Interstellar,2014,https://boxd.it/4VZ8,
20,Heat,1995,https://boxd.it/2bg8,
21,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
22,The Matrix,1999,https://boxd.it/2a1m,
23,Die Hard,1988,https://boxd.it/2a7u,
24,There Will Be Blood,2007,https://boxd.it/20Z2,
25,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
26,Gladiator,2000,https://boxd.it/2b9m,
27,Parasite,2019,https://boxd.it/hTha,
28,Apocalypse Now,1979,https://boxd.it/6ZS,
29,12 Angry Men,1957,https://boxd.it/2auI,
30,Casablanca,1942,https://boxd.it/2aG0,
31,The Thing,1982,https://boxd.it/294O,
32,Se7en,1995,https://boxd.it/29zs,
33,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,
34,The Shining,1980,https://boxd.it/29Nu,
35,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
36,Point Break,1991,https://boxd.it/2958,
37,Fight Club,1999,https://boxd.it/2a9q,
38,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
39,Lawrence of Arabia,1962,https://boxd.it/2wRE,
40,Mulholland Drive,2001,https://boxd.it/297o,
41,Schindler's List,1993,https://boxd.it/2aq2,
42,Saving Private Ryan,1998,https://boxd.it/29ro,
43,La La Land,2016,https://boxd.it/a5fa,
44,Taxi Driver,1976,https://boxd.it/2b8y,
45,Past Lives,2023,https://boxd.it/oNB8,
46,Whiplash,2014,https://boxd.it/7bQA,
47,It's a Wonderful Life,1946,https://boxd.it/28xA,
48,Avengers: Infinity War,2018,https://boxd.it/9vEe,
49,Psycho,1960,https://boxd.it/2ab2,
50,No Country for Old Men,2007,https://boxd.it/21ew,
51,Rear Window,1954,https://boxd.it/2a6Q,
52,Citizen Kane,1941,https://boxd.it/71O,
53,Vertigo,1958,https://boxd.it/2apI,
54,Get Out,2017,https://boxd.it/eOCm,
55,Hot Fuzz,2007,https://boxd.it/2416,
56,Spirited Away,2001,https://boxd.it/2b4m,
57,Seven Samurai,1954,https://boxd.it/2axi,
58,Titanic,1997,https://boxd.it/2a2k,
59,The Exorcist,1973,https://boxd.it/1Yoo,
60,Fargo,1996,https://boxd.it/2aHM,
61,The Social Network,2010,https://boxd.it/17ue,
62,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
63,The Big Lebowski,1998,https://boxd.it/2b6C,
64,Oppenheimer,2023,https://boxd.it/wUow,
65,Predator,1987,https://boxd.it/2b84,
66,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
67,Do the Right Thing,1989,https://boxd.it/29gA,
68,Avengers: Endgame,2019,https://boxd.it/9vE4,
69,The Babadook,2014,https://boxd.it/77xu,
70,Children of Men,2006,https://boxd.it/1Y2i,
71,Arrival,2016,https://boxd.it/aNGk,
72,Magnolia,1999,https://boxd.it/2aze,
73,The Lion King,1994,https://boxd.it/201Q,
74,Trainspotting,1996,https://boxd.it/29XY,
75,The Silence of the Lambs,1991,https://boxd.it/2aHW,
76,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,
77,In the Mood for Love,2000,https://boxd.it/29tE,
78,Ghostbusters,1984,https://boxd.it/g2w,
79,Paddington 2,2017,https://boxd.it/bCF8,
80,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
81,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
82,Brokeback Mountain,2005,https://boxd.it/2b2q,
83,Inglourious Basterds,2009,https://boxd.it/1JzG,
84,Pan's Labyrinth,2006,https://boxd.it/28No,
85,Rocky,1976,https://boxd.it/28Uk,
86,Lady Bird,2017,https://boxd.it/dGNE,
87,Raging Bull,1980,https://boxd.it/28yI,
88,The Piano,1993,https://boxd.it/29Kq,
89,American Psycho,2000,https://boxd.it/28Vs,
90,Groundhog Day,1993,https://boxd.it/2b3e,
91,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
92,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,
93,Lost in Translation,2003,https://boxd.it/2b0E,
94,Moonlight,2016,https://boxd.it/d6bE,
95,Memento,2000,https://boxd.it/2bcK,
96,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,
97,Barbie,2023,https://boxd.it/bCLK,
98,When Harry Met Sally...,1989,https://boxd.it/29W2,
99,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
100,Avatar,2009,https://boxd.it/1Efm,
