Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-03-31,clone The Essential Classic Films You Need To See,,https://boxd.it/Tzr4g,

Position,Name,Year,URL,Description
1,Pandora's Box,1929,https://boxd.it/29jE,
2,The General,1926,https://boxd.it/29co,
3,Greed,1924,https://boxd.it/28Pa,
4,Battleship Potemkin,1925,https://boxd.it/29Vo,
5,M,1931,https://boxd.it/29vq,
6,Metropolis,1927,https://boxd.it/71a,
7,Nosferatu,1922,https://boxd.it/29TM,
8,Safety Last!,1923,https://boxd.it/1AkW,
9,Sherlock Jr.,1924,https://boxd.it/298m,
10,The Birth of a Nation,1915,https://boxd.it/29Zg,
11,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo,
12,The Gold Rush,1925,https://boxd.it/29ce,
13,The Adventures of Robin Hood,1938,https://boxd.it/1V6G,
14,The Blue Angel,1930,https://boxd.it/2aPm,
15,Destry Rides Again,1939,https://boxd.it/Tua,
16,Duck Soup,1933,https://boxd.it/25PG,
17,Freaks,1932,https://boxd.it/2b3o,
18,Gone with the Wind,1939,https://boxd.it/29Fq,
19,It Happened One Night,1934,https://boxd.it/25Ng,
20,King Kong,1933,https://boxd.it/2aMM,
21,Little Caesar,1931,https://boxd.it/1qIu,
22,Ninotchka,1939,https://boxd.it/2802,
23,Mr. Smith Goes to Washington,1939,https://boxd.it/25Ms,
24,The Public Enemy,1931,https://boxd.it/1IdY,
25,Pygmalion,1938,https://boxd.it/1wz4,
26,Stagecoach,1939,https://boxd.it/297S,
27,Tarzan and His Mate,1934,https://boxd.it/1FUq,
28,The Thin Man,1934,https://boxd.it/25gw,
29,Bride of Frankenstein,1935,https://boxd.it/2aPc,
30,The 39 Steps,1935,https://boxd.it/2aKc,
31,Top Hat,1935,https://boxd.it/25MW,
32,Way Out West,1937,https://boxd.it/1vus,
33,The Wizard of Oz,1939,https://boxd.it/29Xu,
34,The Women,1939,https://boxd.it/1AuM,
35,Dracula,1931,https://boxd.it/2b34,
36,Frankenstein,1931,https://boxd.it/25Te,
37,The Invisible Man,1933,https://boxd.it/1VoK,
38,Dr. Jekyll and Mr. Hyde,1931,https://boxd.it/25VO,
39,The Best Years of Our Lives,1946,https://boxd.it/29my,
40,The Big Sleep,1946,https://boxd.it/29iQ,
41,The Big Heat,1953,https://boxd.it/1NNM,
42,Black Narcissus,1947,https://boxd.it/1Kce,
43,Brief Encounter,1945,https://boxd.it/29sm,
44,Casablanca,1942,https://boxd.it/2aG0,
45,Cat People,1942,https://boxd.it/1vG4,
46,Citizen Kane,1941,https://boxd.it/71O,
47,Dead of Night,1945,https://boxd.it/1PQI,
48,Double Indemnity,1944,https://boxd.it/297I,
49,Dumbo,1941,https://boxd.it/1U2o,
50,The Fountainhead,1949,https://boxd.it/1xgW,
51,The Grapes of Wrath,1940,https://boxd.it/2a2u,
52,The Great Dictator,1940,https://boxd.it/29ic,
53,His Girl Friday,1940,https://boxd.it/25M8,
54,I Know Where I'm Going!,1945,https://boxd.it/pQU,
55,It's a Wonderful Life,1946,https://boxd.it/28xA,
56,Kind Hearts and Coronets,1949,https://boxd.it/1SPe,
57,The Lady Eve,1941,https://boxd.it/25LY,
58,Laura,1944,https://boxd.it/27Oq,
59,The Maltese Falcon,1941,https://boxd.it/29c4,
60,A Matter of Life and Death,1946,https://boxd.it/1q6K,
61,Mildred Pierce,1945,https://boxd.it/25uS,
62,Miracle on 34th Street,1947,https://boxd.it/1SRu,
63,"Murder, My Sweet",1944,https://boxd.it/283U,"Aka Farewell, My Lovely"
64,My Darling Clementine,1946,https://boxd.it/25LE,
65,My Little Chickadee,1940,https://boxd.it/1nFs,Mae West and W.C. Fields! In the same film!
66,Notorious,1946,https://boxd.it/2aDK,
67,Out of the Past,1947,https://boxd.it/29PK,Aka Build My Gallows High.
68,The Palm Beach Story,1942,https://boxd.it/1hp4,
69,The Philadelphia Story,1940,https://boxd.it/29a8,
70,Rebecca,1940,https://boxd.it/2aQa,
71,Red River,1948,https://boxd.it/25Lu,
72,Scarlet Street,1945,https://boxd.it/1JgE,
73,Shadow of a Doubt,1943,https://boxd.it/1BtA,
74,The Shop Around the Corner,1940,https://boxd.it/1DFy,
75,Sullivan's Travels,1941,https://boxd.it/1Ko0,
76,The Third Man,1949,https://boxd.it/294E,
77,The Treasure of the Sierra Madre,1948,https://boxd.it/25Lk,
78,White Heat,1949,https://boxd.it/1Lw0,
79,Ace in the Hole,1951,https://boxd.it/1vXk,"Aka The Big Carnival. And, apparently, ""Reporter Des Satans"" (see poster)."
80,The Caine Mutiny,1954,https://boxd.it/1WTk,
81,Cat on a Hot Tin Roof,1958,https://boxd.it/2aK2,
82,Creature from the Black Lagoon,1954,https://boxd.it/1UXk,
83,The Day the Earth Stood Still,1951,https://boxd.it/29w4,
84,A Face in the Crowd,1957,https://boxd.it/2lyc,
85,Forbidden Planet,1956,https://boxd.it/29vK,
86,Guys and Dolls,1955,https://boxd.it/23Mq,
87,High Noon,1952,https://boxd.it/2aGa,
88,High Society,1956,https://boxd.it/1TSe,
89,In a Lonely Place,1950,https://boxd.it/1JgO,
90,Invaders from Mars,1953,https://boxd.it/1Dvo,
91,Invasion of the Body Snatchers,1956,https://boxd.it/1TAa,
92,The Incredible Shrinking Man,1957,https://boxd.it/1ixS,
93,Jailhouse Rock,1957,https://boxd.it/1LI6,
94,The Ladykillers,1955,https://boxd.it/230w,
95,Magnificent Obsession,1954,https://boxd.it/1Q8M,
96,The Man with the Golden Arm,1955,https://boxd.it/2aaI,
97,Niagara,1953,https://boxd.it/1Ef2,
98,Night of the Demon,1957,https://boxd.it/1woA,
99,The Night of the Hunter,1955,https://boxd.it/25HW,
