Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-05-12,Network Favourites,,https://boxd.it/UpkGc,

Position,Name,Year,URL,Description
1,About Time,2013,https://boxd.it/43bI,
2,The Adventures of Robin Hood,1938,https://boxd.it/1V6G,
3,Alien,1979,https://boxd.it/2awY,
4,All That Jazz,1979,https://boxd.it/1JB8,
5,Amadeus,1984,https://boxd.it/2aH8,
6,Amélie,2001,https://boxd.it/2aUc,
7,The Apartment,1960,https://boxd.it/2aGE,
8,April,2024,https://boxd.it/Egx0,
9,Autumn Sonata,1978,https://boxd.it/1Rio,
10,The Avengers,2012,https://boxd.it/1xFW,
11,Baby Face,1933,https://boxd.it/1rMs,
12,Babylon,2022,https://boxd.it/mM02,
13,Back to the Future,1985,https://boxd.it/2b8e,
14,Bamboozled,2000,https://boxd.it/1xfa,
15,The Banshees of Inisherin,2022,https://boxd.it/p7XS,
16,Being John Malkovich,1999,https://boxd.it/2ahu,
17,Better Off Dead...,1985,https://boxd.it/1PFU,
18,The Big Lebowski,1998,https://boxd.it/2b6C,
19,Blade Runner,1982,https://boxd.it/2bcA,
20,The Blues Brothers,1980,https://boxd.it/2adi,
21,Boogie Nights,1997,https://boxd.it/23um,
22,The Boy and the Heron,2023,https://boxd.it/ipeM,
23,Bram Stoker's Dracula,1992,https://boxd.it/223a,
24,Brazil,1985,https://boxd.it/2be2,
25,Bringing Up Baby,1938,https://boxd.it/29ks,
26,Broadcast News,1987,https://boxd.it/1RxS,
27,The Cabin in the Woods,2011,https://boxd.it/1zOc,
28,Casablanca,1942,https://boxd.it/2aG0,
29,Children of Paradise,1945,https://boxd.it/26H4,
30,Cléo from 5 to 7,1962,https://boxd.it/2agm,
31,Close,2022,https://boxd.it/y4qa,
32,Close-Up,1990,https://boxd.it/1m9q,
33,Contact,1997,https://boxd.it/29OM,
34,The Court Jester,1955,https://boxd.it/1SXW,
35,Creep 2,2017,https://boxd.it/dSEO,
36,Danger: Diabolik,1968,https://boxd.it/25Zc,
37,The Darjeeling Limited,2007,https://boxd.it/24as,
38,Deep Red,1975,https://boxd.it/1E1E,
39,Double Indemnity,1944,https://boxd.it/297I,
40,Drive My Car,2021,https://boxd.it/sv94,
41,Dune: Part Two,2024,https://boxd.it/pUfA,
42,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
43,Evil Dead II,1987,https://boxd.it/29Ge,
44,The Fall,2006,https://boxd.it/1NoM,
45,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
46,Fiddler on the Roof,1971,https://boxd.it/1Nle,
47,Fight Club,1999,https://boxd.it/2a9q,
48,Fletch,1985,https://boxd.it/1XTU,
49,Ghost World,2001,https://boxd.it/28Dy,
50,Ghostbusters,1984,https://boxd.it/g2w,
51,Gia,1998,https://boxd.it/1NUo,
52,The Godfather Part II,1974,https://boxd.it/2aNq,
53,God's Own Country,2017,https://boxd.it/faZM,
54,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
55,Grease,1978,https://boxd.it/29YW,
56,The Green Ray,1986,https://boxd.it/t8W,
57,The Guest,2014,https://boxd.it/76RS,
58,Gummo,1997,https://boxd.it/1H0Y,
59,The Handmaiden,2016,https://boxd.it/948A,
60,Harold and Maude,1971,https://boxd.it/2axM,
61,Heavy Metal,1981,https://boxd.it/1SZI,
62,Her,2013,https://boxd.it/4O24,
