Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-05-31,clone ninewheels,,https://boxd.it/UMjkU,

Position,Name,Year,URL,Description
1,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM,
2,Interstellar,2014,https://boxd.it/4VZ8,
3,Y Tu Mamá También,2001,https://boxd.it/28QM,
4,The Prestige,2006,https://boxd.it/293w,
5,The Lion in Winter,1968,https://boxd.it/1FVe,
6,The Last Temptation of Christ,1988,https://boxd.it/1ULe,
7,Jurassic Park,1993,https://boxd.it/2aA2,
8,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
9,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,
10,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
11,The Fountain,2006,https://boxd.it/28RU,
12,Brief Encounter,1945,https://boxd.it/29sm,
13,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw,
14,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
15,The Dark Knight,2008,https://boxd.it/2b0k,
16,"Crouching Tiger, Hidden Dragon",2000,https://boxd.it/2b1M,
17,Deadwood: The Movie,2019,https://boxd.it/jBYE,
18,Network,1976,https://boxd.it/1VqG,
19,Children of Men,2006,https://boxd.it/1Y2i,
20,Serenity,2005,https://boxd.it/1Km4,
21,The Novice,2021,https://boxd.it/uWMc,
22,The Social Network,2010,https://boxd.it/17ue,
23,It's Such a Beautiful Day,2012,https://boxd.it/hCY2,
24,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
25,Seven Samurai,1954,https://boxd.it/2axi,
26,Molly's Game,2017,https://boxd.it/dSl8,
27,Six Degrees of Separation,1993,https://boxd.it/1zva,
28,The Cabin in the Woods,2011,https://boxd.it/1zOc,
29,TÁR,2022,https://boxd.it/uNIA,
30,Sense and Sensibility,1995,https://boxd.it/244E,
31,Fantasia,1940,https://boxd.it/29HG,
32,Knives Out,2019,https://boxd.it/jWEA,
33,Chicken Run,2000,https://boxd.it/20Xg,
34,All That Jazz,1979,https://boxd.it/1JB8,
35,The Green Knight,2021,https://boxd.it/kuy2,
36,Paths of Glory,1957,https://boxd.it/29b6,
37,Carol,2015,https://boxd.it/7DPK,
38,The Pirates of Penzance,1983,https://boxd.it/1LFw,
39,The Shawshank Redemption,1994,https://boxd.it/2aHi,
40,Inside Llewyn Davis,2013,https://boxd.it/34Ro,
41,Christine,2016,https://boxd.it/bhFm,
42,Peter Pan,2003,https://boxd.it/1VQY,
43,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
44,Aftersun,2022,https://boxd.it/Arw0,
45,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,
46,Nausicaä of the Valley of the Wind,1984,https://boxd.it/2bc6,
47,West Side Story,2021,https://boxd.it/iwt0,
48,"They Shoot Horses, Don't They?",1969,https://boxd.it/1q9u,
49,Hedwig and the Angry Inch,2001,https://boxd.it/1Qfe,
50,Inception,2010,https://boxd.it/1skk,
51,Nightcrawler,2014,https://boxd.it/780m,
52,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
53,Cloud Atlas,2012,https://boxd.it/2W60,
54,"Merry Christmas, Mr. Lawrence",1983,https://boxd.it/1SHu,
55,Suspiria,2018,https://boxd.it/cioI,
56,Who's Afraid of Virginia Woolf?,1966,https://boxd.it/2atK,
57,Princess Mononoke,1997,https://boxd.it/2b4w,
58,Blue Velvet,1986,https://boxd.it/29BI,
