Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-03-31,clone New York Times 100 Best Movies of the 21st Century,,https://boxd.it/Tzrbm,

Position,Name,Year,URL,Description
1,Parasite,2019,https://boxd.it/hTha,
2,Mulholland Drive,2001,https://boxd.it/297o,
3,There Will Be Blood,2007,https://boxd.it/20Z2,
4,In the Mood for Love,2000,https://boxd.it/29tE,
5,Moonlight,2016,https://boxd.it/d6bE,
6,No Country for Old Men,2007,https://boxd.it/21ew,
7,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
8,Get Out,2017,https://boxd.it/eOCm,
9,Spirited Away,2001,https://boxd.it/2b4m,
10,The Social Network,2010,https://boxd.it/17ue,
11,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
12,The Zone of Interest,2023,https://boxd.it/gJsA,
13,Children of Men,2006,https://boxd.it/1Y2i,
14,Inglourious Basterds,2009,https://boxd.it/1JzG,
15,City of God,2002,https://boxd.it/2a2a,
16,"Crouching Tiger, Hidden Dragon",2000,https://boxd.it/2b1M,
17,Brokeback Mountain,2005,https://boxd.it/2b2q,
18,Y Tu Mamá También,2001,https://boxd.it/28QM,
19,Zodiac,2007,https://boxd.it/27MO,
20,The Wolf of Wall Street,2013,https://boxd.it/3C1m,
21,The Royal Tenenbaums,2001,https://boxd.it/1YHU,
22,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
23,Boyhood,2014,https://boxd.it/3178,
24,Her,2013,https://boxd.it/4O24,
25,Phantom Thread,2017,https://boxd.it/e4uc,
26,Anatomy of a Fall,2023,https://boxd.it/yuDE,
27,Adaptation.,2002,https://boxd.it/26mA,
28,The Dark Knight,2008,https://boxd.it/2b0k,
29,Arrival,2016,https://boxd.it/aNGk,
30,Lost in Translation,2003,https://boxd.it/2b0E,
31,The Departed,2006,https://boxd.it/28MA,
32,Bridesmaids,2011,https://boxd.it/rac,
33,A Separation,2011,https://boxd.it/gvo,
34,WALL·E,2008,https://boxd.it/1VEo,
35,A Prophet,2009,https://boxd.it/1BGE,
36,A Serious Man,2009,https://boxd.it/1RFW,
37,Call Me by Your Name,2017,https://boxd.it/dYmm,
38,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
39,Lady Bird,2017,https://boxd.it/dGNE,
40,Yi Yi,2000,https://boxd.it/1vCw,
41,Amélie,2001,https://boxd.it/2aUc,
42,The Master,2012,https://boxd.it/2cBG,
43,Oldboy,2003,https://boxd.it/29R2,
44,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,
45,Moneyball,2011,https://boxd.it/glS,
46,Roma,2018,https://boxd.it/f69M,
47,Almost Famous,2000,https://boxd.it/29CQ,
48,The Lives of Others,2006,https://boxd.it/2a4A,
49,Before Sunset,2004,https://boxd.it/2bcg,
50,Up,2009,https://boxd.it/1OEc,
51,12 Years a Slave,2013,https://boxd.it/2D2e,
52,The Favourite,2018,https://boxd.it/d2hI,
53,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,
54,Pan's Labyrinth,2006,https://boxd.it/28No,
55,Inception,2010,https://boxd.it/1skk,
56,Punch-Drunk Love,2002,https://boxd.it/20E4,
57,Best in Show,2000,https://boxd.it/1Pqq,
58,Uncut Gems,2019,https://boxd.it/gXGc,
59,Toni Erdmann,2016,https://boxd.it/d0xu,
60,Whiplash,2014,https://boxd.it/7bQA,
61,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
62,Memento,2000,https://boxd.it/2bcK,
63,Little Miss Sunshine,2006,https://boxd.it/29EW,
64,Gone Girl,2014,https://boxd.it/6hQu,
65,Oppenheimer,2023,https://boxd.it/wUow,
66,Spotlight,2015,https://boxd.it/a84k,
67,TÁR,2022,https://boxd.it/uNIA,
68,The Hurt Locker,2008,https://boxd.it/1Soi,
69,Under the Skin,2013,https://boxd.it/3mDa,
70,Let the Right One In,2008,https://boxd.it/1Qr0,
71,Ocean's Eleven,2001,https://boxd.it/2aZm,
72,Carol,2015,https://boxd.it/7DPK,
73,Ratatouille,2007,https://boxd.it/27ww,
74,The Florida Project,2017,https://boxd.it/dMG0,
75,Amour,2012,https://boxd.it/34Q6,
76,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I,
77,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
78,Aftersun,2022,https://boxd.it/Arw0,
79,The Tree of Life,2011,https://boxd.it/1Zu8,
80,Volver,2006,https://boxd.it/2aQO,
81,Black Swan,2010,https://boxd.it/Sw0,
82,The Act of Killing,2012,https://boxd.it/44Cg,
83,Inside Llewyn Davis,2013,https://boxd.it/34Ro,
84,Melancholia,2011,https://boxd.it/bPI,
85,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo,
86,Past Lives,2023,https://boxd.it/oNB8,
87,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
88,The Gleaners and I,2000,https://boxd.it/S6c,
89,Interstellar,2014,https://boxd.it/4VZ8,
90,Frances Ha,2012,https://boxd.it/41Xg,
91,Fish Tank,2009,https://boxd.it/1xBg,
92,Gladiator,2000,https://boxd.it/2b9m,
93,Michael Clayton,2007,https://boxd.it/2466,
94,Minority Report,2002,https://boxd.it/2aWi,
95,The Worst Person in the World,2021,https://boxd.it/oyws,
96,Black Panther,2018,https://boxd.it/8MHs,
97,Gravity,2013,https://boxd.it/GZY,
98,Grizzly Man,2005,https://boxd.it/2ag2,
99,Memories of Murder,2003,https://boxd.it/1TSo,
100,Superbad,2007,https://boxd.it/20hO,
