Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-04-16,clone olivia My Top 250,,https://boxd.it/TVGJW,

Position,Name,Year,URL,Description
1,La La Land,2016,https://boxd.it/a5fa,
2,Babylon,2022,https://boxd.it/mM02,
3,Jurassic Park,1993,https://boxd.it/2aA2,
4,The Suicide Squad,2021,https://boxd.it/fw6O,
5,Mulholland Drive,2001,https://boxd.it/297o,
6,Poor Things,2023,https://boxd.it/tNWU,
7,One Battle After Another,2025,https://boxd.it/DUHM,
8,Scream,1996,https://boxd.it/24EC,
9,Knives Out,2019,https://boxd.it/jWEA,
10,"I, Tonya",2017,https://boxd.it/dzR0,
11,Little Women,2019,https://boxd.it/aSVk,
12,Schindler's List,1993,https://boxd.it/2aq2,
13,The Matrix,1999,https://boxd.it/2a1m,
14,Alien,1979,https://boxd.it/2awY,
15,Lawrence of Arabia,1962,https://boxd.it/2wRE,
16,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
17,Barbie,2023,https://boxd.it/bCLK,
18,Sorry to Bother You,2018,https://boxd.it/f21E,
19,Lady Bird,2017,https://boxd.it/dGNE,
20,The Wolf of Wall Street,2013,https://boxd.it/3C1m,
21,Almost Famous,2000,https://boxd.it/29CQ,
22,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
23,The Favourite,2018,https://boxd.it/d2hI,
24,"Paris, Texas",1984,https://boxd.it/29Ts,
25,Do the Right Thing,1989,https://boxd.it/29gA,
26,Singin' in the Rain,1952,https://boxd.it/29oY,
27,The Fabelmans,2022,https://boxd.it/ugoM,
28,Ed Wood,1994,https://boxd.it/2adM,
29,The World's End,2013,https://boxd.it/3EiO,
30,Catch Me If You Can,2002,https://boxd.it/29VS,
31,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
32,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,
33,Back to the Future,1985,https://boxd.it/2b8e,
34,Better Man,2024,https://boxd.it/u6t8,
35,Boogie Nights,1997,https://boxd.it/23um,
36,Marty Supreme,2025,https://boxd.it/Off0,
37,There Will Be Blood,2007,https://boxd.it/20Z2,
38,Parasite,2019,https://boxd.it/hTha,
39,The Devil Wears Prada,2006,https://boxd.it/2awE,
40,Amadeus,1984,https://boxd.it/2aH8,
41,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,
42,GoodFellas,1990,https://boxd.it/29FA,
43,Apocalypse Now,1979,https://boxd.it/6ZS,
44,Frances Ha,2012,https://boxd.it/41Xg,
45,Superman,2025,https://boxd.it/E9IU,
46,The Nice Guys,2016,https://boxd.it/94Hg,
47,The Social Network,2010,https://boxd.it/17ue,
48,The Departed,2006,https://boxd.it/28MA,
49,Moonlight,2016,https://boxd.it/d6bE,
50,I Saw the TV Glow,2024,https://boxd.it/woVe,
51,But I'm a Cheerleader,1999,https://boxd.it/1CW4,
52,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
53,Malcolm X,1992,https://boxd.it/27WE,
54,Gone Girl,2014,https://boxd.it/6hQu,
55,The Edge of Seventeen,2016,https://boxd.it/d5nu,
56,12 Angry Men,1957,https://boxd.it/2auI,
57,Palm Springs,2020,https://boxd.it/lCXQ,
58,Jojo Rabbit,2019,https://boxd.it/iEBG,
59,Sinners,2025,https://boxd.it/KQMM,
60,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
61,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
62,Wake Up Dead Man,2025,https://boxd.it/uAKS,
63,The Mitchells vs. the Machines,2021,https://boxd.it/i7xm,
64,The Holdovers,2023,https://boxd.it/vHza,
65,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa,
66,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
67,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
68,Uncut Gems,2019,https://boxd.it/gXGc,
69,Sing Street,2016,https://boxd.it/cOo6,
70,Election,1999,https://boxd.it/1YEc,
71,Logan,2017,https://boxd.it/7Piy,
72,The Wild Robot,2024,https://boxd.it/IWFy,
73,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
74,Children of Men,2006,https://boxd.it/1Y2i,
75,The Brutalist,2024,https://boxd.it/k4BO,
76,Paper Moon,1973,https://boxd.it/1Ud2,
77,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
78,The Batman,2022,https://boxd.it/eDGs,
79,Mission: Impossible – Fallout,2018,https://boxd.it/bSVc,
