Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-04-05,My 100 favourite movies,,https://boxd.it/TH4iq,

Position,Name,Year,URL,Description
1,Remember the Night,1940,https://boxd.it/1n50,
2,Children of Paradise,1945,https://boxd.it/26H4,
3,The Life and Death of Colonel Blimp,1943,https://boxd.it/1wwk,
4,Ghost World,2001,https://boxd.it/28Dy,
5,The Magnificent Ambersons,1942,https://boxd.it/29bK,
6,Hoop Dreams,1994,https://boxd.it/1Opc,
7,The Student Prince in Old Heidelberg,1927,https://boxd.it/32D0,
8,Amélie,2001,https://boxd.it/2aUc,
9,A Tree Grows in Brooklyn,1945,https://boxd.it/1lOi,
10,Cinema Paradiso,1988,https://boxd.it/1UlA,
11,Holiday,1938,https://boxd.it/1Ks2,
12,Only Angels Have Wings,1939,https://boxd.it/Ttw,
13,The Searchers,1956,https://boxd.it/25HC,
14,Metropolitan,1990,https://boxd.it/1Mku,
15,The Dead,1987,https://boxd.it/13vC,
16,Touch of Evil,1958,https://boxd.it/28II,
17,A Canterbury Tale,1944,https://boxd.it/1LIg,
18,Ball of Fire,1941,https://boxd.it/1ms8,
19,My Own Private Idaho,1991,https://boxd.it/2ak4,
20,Major Barbara,1941,https://boxd.it/15eS,
21,"Paris, Texas",1984,https://boxd.it/29Ts,
22,On the Waterfront,1954,https://boxd.it/29TC,
23,The Apartment,1960,https://boxd.it/2aGE,
24,It's a Wonderful Life,1946,https://boxd.it/28xA,
25,Winter's Bone,2010,https://boxd.it/14FI,
26,My Darling Clementine,1946,https://boxd.it/25LE,
27,Listen to Britain,1942,https://boxd.it/38kS,
28,The 400 Blows,1959,https://boxd.it/2b1C,
29,Libeled Lady,1936,https://boxd.it/1imK,
30,Tomboy,2011,https://boxd.it/49U,
31,The Night of the Hunter,1955,https://boxd.it/25HW,
32,Our Little Sister,2015,https://boxd.it/abBm,
33,Broadcast News,1987,https://boxd.it/1RxS,
34,Whistle Down the Wind,1961,https://boxd.it/1e4i,
35,All About Eve,1950,https://boxd.it/29LI,
36,Lucky Star,1929,https://boxd.it/3AQi,
37,Stage Door,1937,https://boxd.it/Tom,
38,Stagecoach,1939,https://boxd.it/297S,
39,The Big Parade,1925,https://boxd.it/25Qa,
40,Up,2009,https://boxd.it/1OEc,
41,Ninotchka,1939,https://boxd.it/2802,
42,To Live and Die in L.A.,1985,https://boxd.it/1XFo,
43,I Know Where I'm Going!,1945,https://boxd.it/pQU,
