Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-04-05,"clone Roger Ebert's ""Great Movies""",,https://boxd.it/TH7JO,

Position,Name,Year,URL,Description
1,12 Angry Men,1957,https://boxd.it/2auI,http://www.rogerebert.com/reviews/great-movie-12-angry-men-1957
2,2001: A Space Odyssey,1968,https://boxd.it/2bf0,http://www.rogerebert.com/reviews/great-movie-2001-a-space-odyssey-1968
3,25th Hour,2002,https://boxd.it/28LC,http://www.rogerebert.com/reviews/25th-hour-2002
4,3 Women,1977,https://boxd.it/YPs,http://www.rogerebert.com/reviews/great-movie-3-women-1977
5,8½,1963,https://boxd.it/2aqm,http://www.rogerebert.com/reviews/great-movie-8-12--eight-and-a-half-1963
6,Ace in the Hole,1951,https://boxd.it/1vXk,http://www.rogerebert.com/reviews/great-movie-ace-in-the-hole-1951
7,Adaptation.,2002,https://boxd.it/26mA,http://www.rogerebert.com/reviews/great-movie-adaptation-2002
8,The Adventures of Robin Hood,1938,https://boxd.it/1V6G,http://www.rogerebert.com/reviews/great-movie-the-adventures-of-robin-hood-1938
9,"After Dark, My Sweet",1990,https://boxd.it/1vHc,http://www.rogerebert.com/reviews/great-movie-after-dark-my-sweet-1990
10,After Hours,1985,https://boxd.it/1VfS,http://www.rogerebert.com/reviews/after-hours-1985-1
11,The Age of Innocence,1993,https://boxd.it/1WgM,http://www.rogerebert.com/reviews/great-movie-the-age-of-innocence-1993
12,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe,http://www.rogerebert.com/reviews/great-movie-aguirre-the-wrath-of-god-1972
13,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve,http://www.rogerebert.com/reviews/great-movie-ai-artificial-intelligence-2001
14,Ali: Fear Eats the Soul,1974,https://boxd.it/2aRi,http://www.rogerebert.com/reviews/great-movie-ali-fear-eats-the-soul-1974
15,Alien,1979,https://boxd.it/2awY,http://www.rogerebert.com/reviews/great-movie-alien-1979
16,All About Eve,1950,https://boxd.it/29LI,http://www.rogerebert.com/reviews/great-movie-all-about-eve-1950
17,Amadeus,1984,https://boxd.it/2aH8,http://www.rogerebert.com/reviews/great-movie-amadeus-1984
18,Amarcord,1973,https://boxd.it/20NA,http://www.rogerebert.com/reviews/great-movie-amarcord-1974
