Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-04-05,The API List,,https://boxd.it/TH3YA,

Position,Name,Year,URL,Description
1,Citizen Kane,1941,https://boxd.it/71O,
2,The Wizard of Oz,1939,https://boxd.it/29Xu,
3,Casablanca,1942,https://boxd.it/2aG0,
4,Modern Times,1936,https://boxd.it/25MC,
5,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
6,Singin' in the Rain,1952,https://boxd.it/29oY,
7,Do the Right Thing,1989,https://boxd.it/29gA,
8,The Godfather,1972,https://boxd.it/2aNK,
9,Sunrise: A Song of Two Humans,1927,https://boxd.it/29Xk,
10,All About My Mother,1999,https://boxd.it/2b9c,
11,It's a Wonderful Life,1946,https://boxd.it/28xA,
12,Lawrence of Arabia,1962,https://boxd.it/2wRE,
13,The Apartment,1960,https://boxd.it/2aGE,
14,Taxi Driver,1976,https://boxd.it/2b8y,
15,Rear Window,1954,https://boxd.it/2a6Q,
16,Titanic,1997,https://boxd.it/2a2k,
17,The Treasure of the Sierra Madre,1948,https://boxd.it/25Lk,
18,Who's Afraid of Virginia Woolf?,1966,https://boxd.it/2atK,
19,Duck Soup,1933,https://boxd.it/25PG,
20,Pulp Fiction,1994,https://boxd.it/29Pq,
21,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,
22,12 Angry Men,1957,https://boxd.it/2auI,
23,Star Wars,1977,https://boxd.it/72s,
24,Annie Hall,1977,https://boxd.it/29M2,
25,The Best Years of Our Lives,1946,https://boxd.it/29my,
26,Sullivan's Travels,1941,https://boxd.it/1Ko0,
27,The Silence of the Lambs,1991,https://boxd.it/2aHW,
28,A Streetcar Named Desire,1951,https://boxd.it/29Mc,
29,Bonnie and Clyde,1967,https://boxd.it/2ajg,
30,Cabaret,1972,https://boxd.it/1Vpe,
31,King Kong,1933,https://boxd.it/2aMM,
32,The Last Picture Show,1971,https://boxd.it/1weg,
33,Intolerance: Love's Struggle Throughout the Ages,1916,https://boxd.it/25Qk,
34,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
35,Vertigo,1958,https://boxd.it/2apI,
36,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
37,Double Indemnity,1944,https://boxd.it/297I,
38,Nashville,1975,https://boxd.it/25GE,
39,To Kill a Mockingbird,1962,https://boxd.it/2a2E,
40,The General,1926,https://boxd.it/29co,
41,Night of the Living Dead,1968,https://boxd.it/1WwA,
42,The Princess Bride,1987,https://boxd.it/26EY,
43,Fast Times at Ridgemont High,1982,https://boxd.it/1QnM,
44,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
45,Tokyo Story,1953,https://boxd.it/1HuY,
46,Hoop Dreams,1994,https://boxd.it/1Opc,
47,A League of Their Own,1992,https://boxd.it/1UdG,
48,Bridesmaids,2011,https://boxd.it/rac,
49,A Trip to the Moon,1902,https://boxd.it/29EC,
50,Groundhog Day,1993,https://boxd.it/2b3e,
51,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
52,Ganja & Hess,1973,https://boxd.it/2UWe,
53,The Thing,1982,https://boxd.it/294O,
54,The 400 Blows,1959,https://boxd.it/2b1C,
55,The Matrix,1999,https://boxd.it/2a1m,
56,The Night of the Hunter,1955,https://boxd.it/25HW,
57,Boogie Nights,1997,https://boxd.it/23um,
58,The Dark Knight,2008,https://boxd.it/2b0k,
59,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
60,Grease,1978,https://boxd.it/29YW,
61,RoboCop,1987,https://boxd.it/22Wu,
62,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,
63,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,
64,Jackass: The Movie,2002,https://boxd.it/1Zo0,
65,The Piano,1993,https://boxd.it/29Kq,
66,Fargo,1996,https://boxd.it/2aHM,
67,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
68,Who Framed Roger Rabbit,1988,https://boxd.it/29ry,
69,Children of Men,2006,https://boxd.it/1Y2i,
70,Die Hard,1988,https://boxd.it/2a7u,
71,Election,1999,https://boxd.it/1YEc,
72,Young Frankenstein,1974,https://boxd.it/25To,
73,Pee-wee's Big Adventure,1985,https://boxd.it/22Lw,
74,Blue Velvet,1986,https://boxd.it/29BI,
75,The Karate Kid,1984,https://boxd.it/27Wk,
76,Thelma & Louise,1991,https://boxd.it/28Ew,
