Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-02-14,"They Shoot Pictures, Don’t They? 1,000 Greatest Films of All Time – 2026 Edition",,https://boxd.it/Szd2w,

Position,Name,Year,URL,Description
1,Citizen Kane,1941,https://boxd.it/71O,
2,Vertigo,1958,https://boxd.it/2apI,
3,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
4,Tokyo Story,1953,https://boxd.it/1HuY,
5,The Rules of the Game,1939,https://boxd.it/29Es,
6,The Godfather,1972,https://boxd.it/2aNK,
7,8½,1963,https://boxd.it/2aqm,
8,Sunrise: A Song of Two Humans,1927,https://boxd.it/29Xk,
9,The Searchers,1956,https://boxd.it/25HC,
10,Seven Samurai,1954,https://boxd.it/2axi,
11,Singin' in the Rain,1952,https://boxd.it/29oY,
12,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,https://boxd.it/T18,
13,Apocalypse Now,1979,https://boxd.it/6ZS,
14,Taxi Driver,1976,https://boxd.it/2b8y,
15,Bicycle Thieves,1948,https://boxd.it/23hW,
16,Persona,1966,https://boxd.it/29B4,
17,In the Mood for Love,2000,https://boxd.it/29tE,
18,Breathless,1960,https://boxd.it/2aIK,
19,The Passion of Joan of Arc,1928,https://boxd.it/29DO,
20,Battleship Potemkin,1925,https://boxd.it/29Vo,
21,L'Atalante,1934,https://boxd.it/ThU,
22,Man with a Movie Camera,1929,https://boxd.it/1u7s,
23,Mirror,1975,https://boxd.it/28Q8,
24,Psycho,1960,https://boxd.it/2ab2,
25,Rashomon,1950,https://boxd.it/2a9K,
26,City Lights,1931,https://boxd.it/29ki,
27,The 400 Blows,1959,https://boxd.it/2b1C,
28,Andrei Rublev,1966,https://boxd.it/29lg,
29,Mulholland Drive,2001,https://boxd.it/297o,
30,The Godfather Part II,1974,https://boxd.it/2aNq,
31,Some Like It Hot,1959,https://boxd.it/2aNA,
32,Au Hasard Balthazar,1966,https://boxd.it/1E3g,
33,La Dolce Vita,1960,https://boxd.it/2anC,
34,Ordet,1955,https://boxd.it/Jiy,
35,Raging Bull,1980,https://boxd.it/28yI,
36,The Night of the Hunter,1955,https://boxd.it/25HW,
37,Casablanca,1942,https://boxd.it/2aG0,
38,L'Avventura,1960,https://boxd.it/23hs,
39,Blade Runner,1982,https://boxd.it/2bcA,
40,Rear Window,1954,https://boxd.it/2a6Q,
41,Sunset Boulevard,1950,https://boxd.it/2a20,
42,Touch of Evil,1958,https://boxd.it/28II,
43,Barry Lyndon,1975,https://boxd.it/25A2,
44,Contempt,1963,https://boxd.it/2aJe,
45,PlayTime,1967,https://boxd.it/1WLK,
46,Pather Panchali,1955,https://boxd.it/22yC,
47,Close-Up,1990,https://boxd.it/1m9q,
48,Lawrence of Arabia,1962,https://boxd.it/2wRE,
49,Stalker,1979,https://boxd.it/28PO,
50,The General,1926,https://boxd.it/29co,
51,Modern Times,1936,https://boxd.it/25MC,
52,Beau Travail,1999,https://boxd.it/1NI8,
53,M,1931,https://boxd.it/29vq,
54,The Third Man,1949,https://boxd.it/294E,
55,Late Spring,1949,https://boxd.it/1DkK,
56,The Apartment,1960,https://boxd.it/2aGE,
57,North by Northwest,1959,https://boxd.it/2aRM,
